	Color	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50	C51	C52	C53
sample1	White	0.0	0.0	20.6	6.0	1.4	2.1	6.5	10.0	1.2	0.0	3.0	5.2	3.5	1.4	1.9	4.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2	3.6	2.1	0.0	0.0	0.0	5.7	1.0	0.0	1.9	3.6	0.0	0.0	0.0	0.0	0.0	2.5	1.8	0.0	2.9	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0
sample2	White	5.8	0.0	2.6	0.0	0.0	6.3	0.0	35.3	0.0	3.2	1.0	3.5	2.6	0.9	0.0	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9	5.9	0.0	0.0	0.0	0.0	4.3	0.0	0.0	0.6	7.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	5.2	1.0	0.0	3.0	0.7	1.1	0.0
sample3	White	4.9	0.0	0.0	0.0	0.0	7.1	0.0	19.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	30.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0	0.0
sample4	White	2.2	0.0	8.8	0.0	4.2	3.4	6.8	29.3	0.0	0.0	0.0	8.4	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2	11.2	0.0	0.0	0.0	0.0	3.5	0.0	0.0	2.8	10.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample5	White	0.0	0.0	24.6	7.7	1.2	0.0	10.9	0.0	0.8	0.0	1.4	3.7	13.6	0.5	0.4	2.2	0.0	2.2	0.0	2.3	2.3	0.0	12.9	0.0	0.0	4.9	3.1	0.0	2.9	1.1	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample6	White	0.0	0.0	31.7	7.2	2.4	3.8	5.3	4.6	2.3	0.0	1.3	2.9	7.7	0.3	0.0	2.6	0.0	0.0	0.0	0.0	1.7	0.0	6.4	0.0	4.5	4.2	0.0	0.0	1.9	1.7	0.0	0.0	0.0	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2
sample7	White	2.1	0.0	11.8	5.1	0.0	3.8	8.0	16.5	0.0	4.8	0.0	1.5	3.5	0.8	0.0	6.0	4.4	0.0	0.0	0.0	0.0	0.0	0.0	4.5	7.8	0.0	0.0	0.0	0.0	5.1	1.8	0.0	0.0	6.4	0.0	0.0	0.0	0.0	0.0	3.1	3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample8	White	0.0	0.0	9.3	5.9	1.3	5.2	9.2	21.9	0.0	0.0	0.0	4.1	2.6	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.4	0.0	0.0	0.0	0.0	0.0	28.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample9	Purple	0.0	5.8	9.2	3.6	2.7	0.0	8.6	0.0	1.6	0.0	0.0	2.7	7.4	2.7	0.0	2.1	0.0	4.6	0.0	0.0	0.2	0.0	12.3	0.0	3.7	5.3	0.0	0.0	2.6	2.4	0.0	1.0	3.0	4.1	2.1	1.6	1.6	1.2	1.1	3.5	0.0	0.7	0.0	0.8	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0
sample10	Purple	0.0	3.8	10.0	2.3	1.9	0.0	10.4	4.4	0.9	0.0	1.3	9.4	6.5	2.3	1.3	2.3	0.0	1.5	3.5	0.0	1.7	4.0	12.3	0.0	3.0	4.4	0.0	0.8	1.8	2.4	0.0	0.0	1.2	2.4	1.5	0.8	1.1	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
