	Species	Organ	Time	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50	C51	C52	C53	C54	C55	C56	C57	C58	C59	C60	C61	C62	C63	C64	C65	C66	C67	C68	C69	C70
sample1	F.nota	Fig	Morning	0.000	0.000	1.714	1.226	1.876	0.000	0.000	0.000	0.000	0.000	4.370	0.000	0.000	5.001	0.000	0.000	0.000	1.795	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.066	2.302	1.477	0.000	12.710	12.518	0.000	0.000	24.266	1.756	18.333	3.223	0.000	0.000	0.000	2.582	0.000	0.000	0.000	0.207	3.577	0.000	0.000	0.000	0.000	0.000
sample2	F.nota	Fig	Morning	39.214	0.000	0.869	0.732	1.749	0.000	0.000	0.000	0.000	0.000	28.779	0.000	0.529	1.266	0.000	0.000	0.000	1.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.588	0.000	0.000	0.000	0.000	0.577	0.000	0.000	0.000	0.000	0.000	0.419	0.000	0.000	6.401	2.859	0.000	0.000	7.319	0.000	4.685	0.000	0.796	0.000	0.000	0.824	0.000	0.000	0.000	0.000	1.280	0.000	0.000	0.000	0.000	0.000
sample3	F.nota	Fig	Morning	2.105	0.000	2.971	0.000	0.364	0.000	0.832	0.000	0.000	0.000	0.000	0.250	43.689	0.000	0.000	0.000	0.000	0.000	0.304	0.000	40.560	0.454	0.000	0.000	0.000	0.000	0.000	0.585	0.000	0.681	0.000	0.000	1.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.814	0.303	0.000	1.264	0.789	0.000	0.387	0.993	0.000	0.609	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample4	F.nota	Fig	Morning	17.823	0.000	0.000	6.676	1.328	0.000	0.000	0.000	0.000	0.000	67.268	0.000	0.000	0.000	0.000	1.191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.983	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.233	0.000	0.000	0.404	1.211	0.702	0.000	1.181	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample5	F.nota	Fig	Morning	10.196	0.631	3.397	1.070	12.822	0.000	0.000	0.602	1.805	0.000	19.386	0.000	0.000	2.238	0.678	0.000	23.641	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.880	0.000	0.786	0.596	0.447	0.501	0.000	0.000	0.000	0.000	0.000	0.000	0.211	0.000	0.000	0.000	0.243	0.719	0.230	0.000	3.521	2.212	0.000	0.000	5.959	0.000	3.140	0.000	0.251	0.000	0.000	0.618	0.185	0.000	0.000	0.017	1.019	0.000	0.000	0.000	0.000	0.000
sample6	F.nota	Fig	Noon	2.970	0.940	5.622	0.000	29.399	1.357	0.000	1.680	0.000	0.272	1.890	0.402	0.000	8.778	1.786	0.000	23.650	0.000	0.690	0.460	0.000	0.516	0.000	0.000	0.000	0.000	0.000	0.928	0.000	1.145	0.000	0.218	1.311	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.146	0.291	1.126	0.344	0.057	2.188	1.960	0.000	0.621	3.291	0.340	2.970	0.648	0.226	0.000	0.000	1.252	0.000	0.000	0.000	0.000	0.525	0.000	0.000	0.000	0.000	0.000
sample7	F.nota	Fig	Noon	1.344	1.950	3.995	0.124	20.543	2.551	0.000	1.087	0.000	0.680	3.390	1.130	1.329	8.802	1.734	0.000	42.872	0.000	1.020	0.297	0.000	0.361	0.181	0.000	0.196	0.000	0.000	0.165	0.000	0.090	0.342	0.245	2.205	0.048	0.000	0.000	0.000	0.303	0.000	0.046	0.000	0.000	0.000	0.000	0.002	0.178	0.000	0.000	0.660	0.338	0.000	0.000	0.891	0.000	0.568	0.036	0.056	0.000	0.000	0.081	0.000	0.000	0.000	0.000	0.161	0.000	0.000	0.000	0.000	0.000
sample8	F.nota	Fig	Noon	0.276	0.972	3.066	0.000	22.094	0.917	0.000	2.219	0.000	0.303	0.000	2.157	0.000	10.322	4.290	0.000	41.422	0.000	1.242	0.225	0.000	0.220	0.220	0.270	0.540	0.000	0.000	0.457	0.000	0.000	0.815	0.979	3.917	0.205	0.018	0.000	0.000	0.257	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.131	0.020	0.020	0.396	0.252	0.000	0.672	0.672	0.000	0.391	0.000	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample9	F.nota	Fig	Noon	0.000	0.000	4.701	11.600	26.556	0.000	0.000	0.000	0.000	0.000	30.286	0.000	0.000	12.757	0.000	0.000	1.696	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.457	0.000	0.000	0.000	0.000	0.540	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.616	1.873	0.000	0.000	0.922	0.000	0.000	2.977	1.488	0.627	0.000	0.903	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample10	F.nota	Fig	Noon	0.000	0.680	2.279	0.296	13.643	0.391	0.000	1.929	0.000	0.245	4.884	1.221	1.904	3.053	2.386	0.000	43.585	0.000	0.514	0.715	0.000	0.202	0.202	0.181	0.363	0.000	0.000	0.156	0.000	0.034	0.984	0.479	0.431	0.176	0.000	0.000	0.000	0.146	0.141	0.000	0.000	0.000	0.000	0.000	0.155	0.559	0.293	0.000	3.475	2.075	0.000	0.672	4.703	0.233	3.069	0.257	0.465	0.000	0.000	1.401	0.349	0.000	0.000	0.260	0.814	0.000	0.000	0.000	0.000	0.000
sample11	F.nota	Leaf	Morning	74.764	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.682	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.555	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample12	F.nota	Leaf	Morning	0.000	0.000	15.968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	75.110	0.000	0.000	0.000	0.000	0.000	8.923	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample13	F.nota	Leaf	Morning	12.043	0.000	5.974	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	26.923	0.000	0.000	0.000	8.035	8.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32.130	0.000	0.000	0.000	0.000	0.000	6.860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample14	F.nota	Leaf	Morning	0.000	0.000	0.000	0.000	0.000	0.000	51.202	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	48.135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.663	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
