	C1	C2	C3	C4
sample1	6.630	13.437	15.323	2.722
sample2	10.506	18.801	9.457	4.343
sample3	3.941	7.697	9.022	1.165
sample4	15.018	27.146	8.878	7.062
sample5	2.313	5.658	18.241	1.208
sample6	4.513	10.437	3.469	2.113
sample7	6.775	12.639	15.272	2.359
sample8	10.564	23.473	7.767	6.735
sample9	6.866	12.452	19.679	4.122
sample10	10.516	18.070	4.427	4.911
sample11	12.339	18.343	29.489	5.205
sample12	20.218	25.409	6.939	7.265
sample13	6.245	9.724	20.687	3.050
sample14	6.582	14.659	5.800	5.550
sample15	11.095	16.948	18.386	6.032
sample16	12.074	24.433	6.192	9.908
sample17	4.709	9.240	2.661	2.203
sample18	6.181	12.175	3.881	4.156
sample19	6.569	10.662	3.314	2.680
sample20	8.924	17.992	6.549	8.586
sample21	3.588	6.328	1.757	1.529
sample22	6.129	11.565	3.749	3.895
sample23	6.430	11.451	3.024	2.859
sample24	7.569	16.204	5.712	6.698
sample25	8.774	14.138	3.416	2.418
sample26	19.029	28.497	7.072	3.546
sample27	15.772	27.885	6.241	6.343
sample28	16.809	28.996	6.669	3.449
sample29	6.674	13.348	3.050	3.046
sample30	10.892	21.914	5.180	2.899
sample31	10.616	19.241	4.396	4.848
sample32	17.532	26.815	6.207	4.190
