	OTU1	OTU2	OTU3	OTU4	OTU5	OTU6	OTU7	OTU8	OTU9	OTU10	OTU11	OTU12	OTU13	OTU14	OTU15	OTU16	OTU17	OTU18	OTU19	OTU20	OTU21	OTU22	OTU23	OTU24
sample1	0.0	0.0	0.0	0.0	53.6	0.0	12.0	0.0	11.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	3.0	0.0	12.7	0.0
sample2	0.0	0.0	0.0	5.6	0.0	26.4	18.8	0.0	16.1	8.7	4.6	0.0	0.0	0.0	0.0	7.7	7.3	0.0	0.0	0.0	0.9	0.0	3.8	0.0
sample3	0.0	4.7	0.0	0.0	45.6	0.0	7.0	0.0	18.4	0.0	0.0	0.0	0.0	0.0	2.8	3.2	1.5	0.0	0.0	0.0	1.7	0.0	15.1	0.0
sample4	0.0	0.0	0.0	7.1	0.0	21.0	16.7	0.0	16.0	8.0	5.9	0.0	0.0	7.1	0.0	6.9	7.3	0.0	0.0	0.0	1.9	0.0	2.1	0.0
sample5	0.0	1.2	0.0	10.6	28.5	0.0	12.1	0.0	11.7	7.2	5.1	6.0	0.0	6.4	0.0	4.7	4.7	0.0	0.0	0.0	0.0	0.0	1.9	0.0
sample6	0.0	0.0	0.0	7.7	0.0	20.2	14.1	0.0	14.5	6.5	6.2	6.5	0.0	6.8	0.0	8.0	7.3	0.0	0.0	0.0	0.0	0.0	2.3	0.0
sample7	0.0	0.7	0.0	5.5	31.4	0.0	12.8	0.0	12.9	6.7	5.5	7.1	0.0	6.2	0.0	5.0	2.5	0.0	0.0	0.0	1.3	0.0	2.3	0.0
sample8	0.0	0.0	0.0	9.0	0.0	22.1	14.3	0.0	14.9	7.4	6.8	7.4	0.0	7.5	0.0	5.3	3.0	0.0	0.0	0.0	0.9	0.0	1.3	0.0
sample9	0.0	5.2	0.0	9.6	29.6	0.0	13.8	0.0	13.5	6.3	0.0	0.0	0.0	7.5	0.0	6.5	3.3	0.0	1.3	0.0	1.1	0.0	2.4	0.0
sample10	0.0	0.0	0.0	6.5	0.0	19.4	20.2	0.0	11.1	7.2	0.0	3.4	0.0	8.0	0.0	9.2	9.5	0.0	0.8	0.0	2.1	0.0	2.7	0.0
sample11	0.0	1.2	0.0	0.0	31.5	0.0	10.2	10.6	10.7	7.2	0.0	0.0	0.0	7.9	0.0	6.2	7.3	0.0	0.0	0.0	2.5	0.0	4.8	0.0
sample12	0.0	0.0	0.0	0.0	0.0	23.0	33.1	0.0	20.1	5.8	0.0	0.0	0.0	6.8	0.0	1.5	3.2	0.0	1.6	0.0	2.3	0.0	2.6	0.0
sample13	0.0	0.0	0.0	0.0	52.0	0.0	11.2	0.0	13.8	3.5	0.0	0.0	0.0	2.4	0.0	1.4	5.6	0.0	0.0	0.0	1.0	0.0	9.2	0.0
sample14	0.0	0.0	0.0	0.0	0.0	23.4	25.6	0.0	14.5	7.4	0.0	0.0	0.0	5.9	0.0	2.3	11.3	0.0	1.3	0.0	4.2	0.0	4.2	0.0
sample15	0.0	10.1	0.0	0.0	19.5	0.0	0.0	32.9	17.5	5.4	0.0	0.0	0.0	5.5	0.4	1.6	1.9	0.0	0.6	0.0	0.0	0.0	4.6	0.0
sample16	0.0	0.0	0.0	0.0	0.0	19.5	26.0	0.0	17.1	7.5	0.0	0.0	0.0	3.0	0.0	4.7	5.0	0.0	1.2	0.0	6.1	0.0	9.7	0.0
sample17	10.6	8.1	0.0	0.0	60.6	0.0	8.2	0.0	8.4	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
sample18	0.0	0.0	0.0	0.0	0.0	20.6	17.4	0.0	9.1	13.5	0.0	4.7	4.5	4.8	0.0	3.0	0.0	5.0	1.8	0.0	0.0	0.0	1.1	14.4
sample19	0.0	4.7	0.0	0.0	68.6	0.0	6.0	0.0	4.2	9.9	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	2.2	0.0	0.0
sample20	0.0	0.0	0.0	0.0	0.0	21.5	22.2	0.0	10.0	12.1	0.0	6.6	0.0	4.3	0.0	3.5	2.3	3.0	0.0	0.0	0.0	0.0	2.0	12.5
sample21	0.0	22.1	0.0	0.0	57.4	0.0	0.0	0.0	13.9	0.0	0.0	0.9	0.0	0.9	0.0	0.7	0.8	1.3	0.0	0.0	0.0	0.0	2.0	0.0
sample22	0.0	0.0	0.0	0.0	0.0	15.3	11.4	0.0	5.1	12.0	2.8	13.2	0.0	3.8	0.0	4.7	5.5	6.9	0.0	0.0	0.0	0.0	4.0	15.2
sample23	0.0	2.4	0.0	0.0	44.4	0.0	9.0	0.0	8.0	7.2	0.0	10.7	0.0	4.1	0.0	2.3	2.3	1.7	0.0	0.0	1.8	6.1	0.0	0.0
sample24	0.0	0.0	0.0	0.0	0.0	13.3	14.9	0.0	10.8	11.6	0.0	14.8	0.0	8.3	0.0	3.8	2.7	3.5	1.2	0.0	2.1	2.4	0.0	10.7
sample25	0.0	14.6	0.0	0.0	38.4	0.0	14.2	0.0	5.6	0.0	3.7	5.3	0.0	1.1	0.0	0.8	1.0	4.7	5.3	2.2	0.0	0.0	3.0	0.0
sample26	0.0	0.0	0.0	0.0	0.0	9.3	9.7	0.0	5.2	9.2	5.7	15.8	0.0	4.5	0.0	0.0	0.3	4.2	7.8	3.0	3.2	2.5	0.0	19.6
sample27	0.0	7.3	0.0	0.0	54.5	0.0	10.7	0.0	5.8	0.0	1.7	5.6	0.0	0.0	0.0	0.0	1.5	6.0	3.1	0.0	0.0	0.0	3.7	0.0
sample28	0.0	0.0	0.0	0.0	0.0	21.4	8.5	0.0	8.6	3.5	2.8	4.4	0.0	0.0	0.0	3.2	2.1	9.8	10.6	3.1	0.0	0.0	5.4	16.4
sample29	0.0	18.3	1.8	4.1	49.9	0.0	4.1	0.0	3.7	0.0	0.8	3.3	0.0	0.0	0.0	1.0	0.0	4.7	2.3	1.4	0.0	0.0	4.6	0.0
sample30	0.0	0.0	0.0	0.0	0.0	18.6	8.7	0.0	9.9	1.5	2.2	10.9	0.0	0.0	0.0	9.2	2.7	14.4	2.3	0.0	0.0	0.0	3.5	16.1
sample31	0.0	5.7	0.0	0.0	45.3	0.0	7.1	0.0	3.9	0.0	2.3	8.2	0.0	0.0	0.0	2.9	3.3	10.2	3.6	0.0	0.0	0.0	7.4	0.0
sample32	0.0	0.0	0.0	0.0	0.0	16.9	11.9	0.0	0.0	0.0	0.0	14.1	0.0	2.9	0.0	1.1	0.9	8.0	14.2	0.0	9.8	0.0	0.0	20.3
