unique	site	treatment	treatment_unique	block	block_unique	tree	tree_unique	branch	branch_unique	leaf_num	leaf_unique	plantht_cm	branchht_cm	sproutd_mm	stumpd_mm	dist_ery	num_leaves	num_fruits	area_m2	thick_mm	thick_m	wt_mg	wt_g	amax	trans	vpd	temp	rh	ac_ci	ci	leafcn	openness	cond	wue	lma_g_m2	amass	leaf_density_g_cm3	leafn	leafc	area_cm2	soil_p	soil_n	soil_c	soil_ph	soil_moist
1	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	1	aquiares_fullsun_1_1	nonrep	aquiares_fullsun_1_1_nonrep	1	aquiares_fullsun_1_1_nonrep_1	235	150	15	75	NA	14	0	0.00456	25.7	0.026	444	0.444	5.8	1.397	1.17	24.49	63.18	0.750628352	287.0310867	17.47	52.24569	0.1095	4.151753758	97.4	0.059548255	0.3794	2.74	47.83	45.6	4.13	9.922	99.26	4.35	0.718675802
2	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	1	aquiares_fullsun_1_1	nonrep	aquiares_fullsun_1_1_nonrep	2	aquiares_fullsun_1_1_nonrep_2	235	150	15	75	NA	14	0	0.00641	23.3	0.023	608	0.608	5.41	0.938	1.25	24.57	66.41	0.639527971	244.6382977	17.67	52.24569	0.0679	5.767590618	94.9	0.057007376	0.4065	2.75	48.66	64.1	4.13	9.922	99.26	4.35	0.718675802
3	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	1	aquiares_fullsun_1_1	nonrep	aquiares_fullsun_1_1_nonrep	3	aquiares_fullsun_1_1_nonrep_3	235	150	15	75	NA	14	0	0.00849	22	0.022	741	0.741	4.68	1.649	1.39	25.8	54.37	0.792116809	304.2491791	17.79	52.24569	0.1094	2.838083687	87.3	0.053608247	0.3967	2.72	48.48	84.9	4.13	9.922	99.26	4.35	0.718675802
4	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	1	aquiares_fullsun_1_1	rep	aquiares_fullsun_1_1_rep	1	aquiares_fullsun_1_1_rep_1	235	165	15	75	NA	26	13	0.00219	29.3	0.029	302	0.302	6.62	2.636	1.3	24.99	52.23	0.824074729	315.1775522	16.71	54.417013	0.1925	2.51138088	137.9	0.048005801	0.4701	2.91	48.64	21.9	4.13	9.922	99.26	4.35	0.718675802
5	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	1	aquiares_fullsun_1_1	rep	aquiares_fullsun_1_1_rep	2	aquiares_fullsun_1_1_rep_2	235	165	15	75	NA	26	13	0.00305	30	0.03	368	0.368	7.74	2.239	1.22	25.07	70.12	0.777628577	294.6449586	15.3	54.417013	0.172	3.456900402	120.7	0.064125932	0.4022	3.23	49.48	30.5	4.13	9.922	99.26	4.35	0.718675802
6	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	1	aquiares_fullsun_1_1	rep	aquiares_fullsun_1_1_rep	3	aquiares_fullsun_1_1_rep_3	235	165	15	75	NA	26	13	0.00417	31.3	0.031	540	0.54	6.69	2.119	1.38	25.29	54.32	0.770882151	294.849309	16.18	54.417013	0.1426	3.157149599	129.5	0.051660232	0.4133	3.1	50.11	41.7	4.13	9.922	99.26	4.35	0.718675802
7	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	2	aquiares_fullsun_1_2	nonrep	aquiares_fullsun_1_2_nonrep	1	aquiares_fullsun_1_2_nonrep_1	179	123	23.4	73	NA	13	0	0.00529	25.7	0.026	463	0.463	5.93	1.384	1.37	24.83	58.11	0.701305004	268.3604622	15.8	37.328273	0.0938	4.284682081	87.5	0.067771429	0.341	3.24	51.2	52.9	7.13	10.8	107.9	4.14	0.665847424
8	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	2	aquiares_fullsun_1_2	nonrep	aquiares_fullsun_1_2_nonrep	2	aquiares_fullsun_1_2_nonrep_2	179	123	23.4	73	NA	13	0	0.00588	24.7	0.025	512	0.512	5.76	1.481	1.35	24.67	59.12	0.730684924	279.6158788	16.73	37.328273	0.1023	3.889264011	87.1	0.066130884	0.353	3	50.26	58.8	7.13	10.8	107.9	4.14	0.665847424
9	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	2	aquiares_fullsun_1_2	nonrep	aquiares_fullsun_1_2_nonrep	3	aquiares_fullsun_1_2_nonrep_3	179	123	23.4	73	NA	13	0	0.00476	26.3	0.026	388	0.388	4.42	0.786	1.5	24.93	58.12	0.579660179	222.8026324	15.96	37.328273	0.0473	5.623409669	81.5	0.054233129	0.3095	3.14	50.16	47.6	7.13	10.8	107.9	4.14	0.665847424
10	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	2	aquiares_fullsun_1_2	rep	aquiares_fullsun_1_2_rep	1	aquiares_fullsun_1_2_rep_1	179	135	23.4	73	NA	14	36	0.00751	27	0.027	753	0.753	8.36	4.073	0.86	24.92	68.6	0.901589804	340.3587709	16.99	47.058635	0.5049	2.052541124	100.3	0.08334995	0.3714	2.97	50.49	75.1	7.13	10.8	107.9	4.14	0.665847424
11	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	2	aquiares_fullsun_1_2	rep	aquiares_fullsun_1_2_rep	2	aquiares_fullsun_1_2_rep_2	179	135	23.4	73	NA	14	36	0.00714	29.3	0.029	740	0.74	7.02	2.27	1.27	24.15	63.27	0.793091615	300.7484432	17.73	47.058635	0.1738	3.092511013	103.6	0.067760618	0.3533	2.94	52.08	71.4	7.13	10.8	107.9	4.14	0.665847424
12	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	2	aquiares_fullsun_1_2	rep	aquiares_fullsun_1_2_rep	3	aquiares_fullsun_1_2_rep_3	179	135	23.4	73	NA	14	36	0.00804	26.3	0.026	732	0.732	6.11	1.783	1.34	24.84	57.93	0.761439145	291.1135567	16.63	47.058635	0.1257	3.426808749	91	0.067142857	0.3457	2.93	48.76	80.4	7.13	10.8	107.9	4.14	0.665847424
13	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	3	aquiares_fullsun_1_3	nonrep	aquiares_fullsun_1_3_nonrep	1	aquiares_fullsun_1_3_nonrep_1	170	143	19.7	79	NA	13	0	0.00281	26	0.026	325	0.325	9.3	2.243	1.37	25.01	60.2	0.70853221	267.5796324	13.45	44.804759	0.158	4.146232724	115.7	0.080380294	0.4448	3.77	50.74	28.1	7.03	12.4	125.1	4.77	0.755912308
14	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	3	aquiares_fullsun_1_3	nonrep	aquiares_fullsun_1_3_nonrep	2	aquiares_fullsun_1_3_nonrep_2	170	143	19.7	79	NA	13	0	0.00456	26.3	0.026	472	0.472	8.45	2.463	1.3	24.8	56.4	0.766548498	289.9631407	12.92	44.804759	0.1846	3.430775477	103.5	0.081642512	0.3931	3.8	49.1	45.6	7.03	12.4	125.1	4.77	0.755912308
15	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	3	aquiares_fullsun_1_3	nonrep	aquiares_fullsun_1_3_nonrep	3	aquiares_fullsun_1_3_nonrep_3	170	143	19.7	79	NA	13	0	0.00523	27.7	0.028	599	0.599	8.6	3.205	1.19	24.42	66.51	0.829395501	313.6656333	15.34	44.804759	0.2762	2.683307332	114.5	0.07510917	0.414	3.36	51.6	52.3	7.03	12.4	125.1	4.77	0.755912308
16	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	3	aquiares_fullsun_1_3	rep	aquiares_fullsun_1_3_rep	1	aquiares_fullsun_1_3_rep_1	170	158	19.7	79	NA	14	18	0.00292	24.3	0.024	315	0.315	10.9	2.866	1.35	25.27	56.2	0.732034091	274.7339768	13.55	51.515326	0.2092	3.803210049	107.9	0.101019462	0.4433	3.84	52	29.2	7.03	12.4	125.1	4.77	0.755912308
17	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	3	aquiares_fullsun_1_3	rep	aquiares_fullsun_1_3_rep	2	aquiares_fullsun_1_3_rep_2	170	158	19.7	79	NA	14	18	0.00315	29	0.029	448	0.448	9.82	2.404	1.37	25.11	60.45	0.710892623	267.9517035	17.09	51.515326	0.1697	4.084858569	142.2	0.069057665	0.4904	3.04	51.89	31.5	7.03	12.4	125.1	4.77	0.755912308
18	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	3	aquiares_fullsun_1_3	rep	aquiares_fullsun_1_3_rep	3	aquiares_fullsun_1_3_rep_3	170	158	19.7	79	NA	14	18	0.0028	23.7	0.024	369	0.369	10	2.714	1.24	24.61	61.14	0.762384922	287.2531547	14.88	51.515326	0.2175	3.684598379	131.8	0.075872534	0.5568	3.52	52.43	28	7.03	12.4	125.1	4.77	0.755912308
19	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	4	aquiares_fullsun_1_4	nonrep	aquiares_fullsun_1_4_nonrep	1	aquiares_fullsun_1_4_nonrep_1	195	165	25.1	86	NA	19	0	0.00524	23.7	0.024	462	0.462	4.95	0.747	0.93	24.67	76.95	0.693626961	266.2881877	14.48	34.31812	0.0734	6.626506024	88.2	0.056122449	0.3725	3.91	56.67	52.4	4.25	10.36	102.1	4.52	0.590701365
20	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	4	aquiares_fullsun_1_4	nonrep	aquiares_fullsun_1_4_nonrep	2	aquiares_fullsun_1_4_nonrep_2	195	165	25.1	86	NA	19	0	0.00659	27	0.027	563	0.563	6.88	1.428	1.01	25.43	73.75	0.751355142	286.5519415	15.36	34.31812	0.133	4.817927171	85.4	0.080562061	0.3164	3.74	57.41	65.9	4.25	10.36	102.1	4.52	0.590701365
21	aquiares	fullsun	aquiares_fullsun	1	aquiares_fullsun_1	4	aquiares_fullsun_1_4	nonrep	aquiares_fullsun_1_4_nonrep	3	aquiares_fullsun_1_4_nonrep_3	195	165	25.1	86	NA	19	0	0.00348	30	0.03	417	0.417	7.03	1.998	0.89	25.11	71.03	0.836322982	318.434293	15.07	34.31812	0.2227	3.518518519	119.8	0.058681135	0.3994	3.97	59.82	34.8	4.25	10.36	102.1	4.52	0.590701365
