TGRC Accession,Taxon,Spe,Latitude,Longitude
LA0114,S. pimpinellifolium,pim,-7.4,-79.5666667
LA0421,S. cheesmaniae ,che,-0.9,-89.6
LA0530,S. galapagense ,gal,-0.4123801,-91.4821482
LA1203,S. lycopersicum,cer,14.5233333,-90.7666667
LA1272,S. pennellii,pen,-11.52,-77
LA1322,S. neorickii,neo,-13.45,-72.43
LA1782,S. chilense,chi,-15.3666667,-74.625
LA1926,S. pennellii var. puberulum,pub,-14.5833333,-74.975
LA2153,S. arcanum,arc,-7.32,-78.42
LA2160,S. ochranthum,och,-6.4,-78.85
LA2196,S. habrochaites,hab,-6.175,-77.9083333
LA2408,S. lycopersicoides,lyc,-18.1833333,-69.5666667
LA2964,S. peruvianum,per,-17.9833333,-70.8333333
LA3322,S. juglandifolium,jug,-0.25,-78.7833
LA4115,S. sitiens,sit,-22.1469444,-68.7591667
LA1327,S. chmielewskii,chm,-13.7333333,-72.9333333
NA,Ramellet 1-48 ,raN,NA,NA
NA,Ramellet 1-30 ,raP,NA,NA
NA,Commercial tomato ROMA VF,rom,NA,NA
