"","Spe","lma.leaflet","thick.vile","ldmc","A","Vcmax","gs","gm","wue","Rdark","PC2","PC1"
"1","pen",30.47273925,286.5170215,0.106355773,14.71383,24.52534,0.1399655,0.13763,105.12469144182,0.983,-2.16498992290152,0.192008099653764
"3","pen",42.84825318,414.9365229,0.103264598,20.17582,27.6,0.2663291,0.1504326,75.7552216411951,1.89,-1.50140936215598,0.31761752232103
"4","pen",43.04272131,337.1926146,0.127650249,19.15554,18.23876,0.2697234,0.1327031,71.0191996689942,1.44,0.0806341955208195,0.084623426155155
"5","pen",45.86941901,332.2695452,0.138048821,13.87077,17.60741,0.1907139,0.08933728,72.7307763094352,2.18,-0.185667122125355,-1.38076211580133
"6","chi",40.45275994,264.7011657,0.152824261,18.15816,24.45865,0.2097039,0.1370988,86.5895197943386,2.22,-0.674746315181873,0.475135614726748
"7","chi",38.15078896,229.6568341,0.166120852,16.42276,22.7325,0.2080516,0.1158292,78.9359947243857,1.71,0.113159685372147,0.441177959354017
"8","chi",60.08379548,304.2361822,0.197490631,13.5455,19.45461,0.2281218,0.06953016,59.3783671705203,1.11,1.48577389922716,-1.32478571875145
"9","chi",42.77139289,269.331469,0.158805776,9.390226,15.66508,0.1474361,0.04745083,63.6901410170237,1.9,0.70019387174681,-2.51317204088959
"10","chi",29.31874946,232.9776363,0.125843621,10.94396,17.0302,0.1265307,0.07090255,86.4925271100215,1.45,-0.655410166825006,-1.1520440554138
"11","pub",45.87552482,280.7976633,0.163375736,17.95557,19.60553,0.2343283,0.1620398,76.6256999261293,2.08,0.129603582429966,0.229411441280402
"12","pub",62.10900845,393.087202,0.15800313,13.11658,18.52018,0.1604626,0.08752133,81.7422876109449,2.79,-0.715293608705874,-2.30184324024015
"14","pub",62.22855743,408.9489638,0.15216705,12.56531,21.03163,0.1344478,0.0962325,93.4586508667304,1.34,-1.24777168946791,-2.05460025303758
"15","pub",36.62022151,359.3179959,0.101915913,14.37573,30.19051,0.0996895,0.2296315,144.205056701057,1.47,-4.24721697722372,-0.0122614641037929
"16","och",56.23721881,285.4056027,0.197043149,13.96722,23.83157,0.1569529,0.1054583,88.9898816778792,2.43,-0.535827668486369,-1.01667125057333
"17","och",58.04783267,333.3597777,0.174129684,13.21974,25.48606,0.1086532,0.1480982,121.669127094278,2.24,-2.2680775747356,-1.24462874342207
"18","och",58.84441683,294.7531872,0.199639629,18.19709,23.39179,0.184981,0.1875965,98.3727517961304,2.29,-0.702539053425583,0.0510094392848959
"19","och",62.94463101,368.9652651,0.170597715,20.97033,28.16628,0.2639228,0.1794552,79.4563031310671,1.68,-0.525329353001984,0.44832940975499
"20","och",51.61250156,298.2312384,0.173062023,15.19454,19.7363,0.2062249,0.1096448,73.6794635371383,2.21,0.223648054730155,-0.785715309995724
"21","jug",77.82930192,552.742713,0.140805659,6.482823,15.08903,0.08212931,0.0348943,78.9343414671327,2.4,-1.35848375081921,-5.90855879181036
"23","jug",70.60725835,467.4866197,0.151035891,9.076531,25.31881,0.1234908,0.04895346,73.4996534154771,2.29,-1.21684322313757,-3.71863866106475
"25","jug",70.23604727,563.0603741,0.124739816,6.420358,18.68659,0.06811438,0.04002312,94.2584811019347,4.48,-2.97867868504965,-6.11945766348875
"27","sit",39.73634652,333.6824078,0.119084332,13.97322,19.95071,0.1876083,0.0805071,74.4808198784382,3.24,-0.918602438005466,-1.44185820814046
"28","sit",31.87529523,280.6722644,0.11356767,17.44919,35.76592,0.2293806,0.1120449,76.0709057348355,2.932692308,-1.81523646836317,0.829844877591931
"29","sit",36.23331686,298.8221619,0.121253781,14.15328,16.47128,0.2701816,0.08225688,52.3843222484433,1.488372093,1.05046064761657,-0.678053721666235
"32","lyc",38.66185897,276.1846641,0.139985539,25.91251,27.27852,0.5470193,0.1766567,47.3703761457777,NA,0,0
"34","lyc",34.31597681,264.3307182,0.12982213,18.53963,25.70737,0.2620746,0.1220316,70.7418040512129,3.92834293,-0.693523748434945,0.423845032804872
"35","lyc",31.6792728,244.1409111,0.129758149,28.00303,25.56955,0.4315623,0.3385752,64.8875724316049,2.754966887,0.0810287038794789,2.96313893836218
"36","pim",31.77343051,183.877116,0.17279709,15.29227,22.46102,0.151143,0.1291399,101.177494161159,1.14,-0.436692578123417,0.859649782895983
"37","pim",34.65663861,204.186504,0.16973031,14.92055,15.90431,0.2722381,0.08688123,54.806986972066,1.26,2.07722245264788,0.212661763890174
