"uid","namedLocation","date","eventID","domainID","siteID","plotID","subplotID","nestedSubplotID","groupID","taxonID","scientificName","taxonRank","identificationReferences","identificationQualifier","volumePercent","livePercent","deadPercent","canopyArea","meanHeight","remarks","measuredBy","recordedBy","dataQF"
"0e77f5fe-5a80-45ab-b92a-2687f38764b2","SCBI_051.basePlot.vst","2016-10-12","vst_SCBI_2016","D02","SCBI","SCBI_051","39","1","39_01","BETH","Berberis thunbergii DC.","species",NA,NA,98,100,0,4.1,1.5,NA,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",NA
"1dd53314-1dc2-4ae5-b4ea-fb57c42e9555","SCBI_051.basePlot.vst","2016-10-12","vst_SCBI_2016","D02","SCBI","SCBI_051","39","1","39_02","ROMU","Rosa multiflora Thunb.","species",NA,NA,89,100,0,2.9,1.48,NA,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",NA
"5f82a2f3-c58f-48b3-8e81-8e497191c535","SCBI_051.basePlot.vst","2016-10-12","vst_SCBI_2016","D02","SCBI","SCBI_051","39","1","39_02","LIBE3","Lindera benzoin (L.) Blume","species",NA,NA,11,100,0,2.9,1.48,NA,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",NA
"5d5d942d-aa3c-44f4-8088-ca4b40dc7e32","SCBI_051.basePlot.vst","2016-10-12","vst_SCBI_2016","D02","SCBI","SCBI_051","39","1","39_01","LIBE3","Lindera benzoin (L.) Blume","species",NA,NA,2,100,0,4.1,1.5,NA,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",NA
"55d87322-7e3d-4760-b1bf-e8f7e43fd277","SCBI_051.basePlot.vst","2017-11-02","vst_SCBI_2017","D02","SCBI","SCBI_051","39","1","39_02","ROMU","Rosa multiflora Thunb.","species",NA,NA,93,100,0,5.3,1.7,"Some ROMU may not be in nested subplot or may not qualify at ddh","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=",NA
"32a2161c-dec2-4d4c-b6a3-5d07ee3ae8fb","SCBI_051.basePlot.vst","2017-11-02","vst_SCBI_2017","D02","SCBI","SCBI_051","39","1","39_01","LIBE3","Lindera benzoin (L.) Blume","species",NA,NA,5,100,0,2.8,1.64,"","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=",NA
"7137b322-0dab-4428-9edf-7ddf3926ba14","SCBI_051.basePlot.vst","2017-11-02","vst_SCBI_2017","D02","SCBI","SCBI_051","39","1","39_02","LIBE3","Lindera benzoin (L.) Blume","species",NA,NA,7,100,0,5.3,1.7,"Some ROMU may not be in nested subplot or may not qualify at ddh","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=",NA
"34167df9-0efc-4cb1-9484-1154e11d98f0","SCBI_051.basePlot.vst","2017-11-02","vst_SCBI_2017","D02","SCBI","SCBI_051","39","1","39_01","BETH","Berberis thunbergii DC.","species",NA,NA,95,100,0,2.8,1.64,"","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=",NA
"4479944e-4db6-4a4d-b3c3-5524b0b3dbb7","SCBI_013.basePlot.vst","2018-01-09","vst_SCBI_2017","D02","SCBI","SCBI_013","32","1","32_01","RUOC","Rubus occidentalis L.","species",NA,NA,5,100,0,40.5,3.84,"","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",NA
"3a7f9f65-1aaa-491c-a24f-397a3d38af09","SCBI_013.basePlot.vst","2018-01-09","vst_SCBI_2017","D02","SCBI","SCBI_013","32","1","32_01","VITIS","Vitis sp.","genus",NA,NA,12,100,0,40.5,3.84,"","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",NA
"ffa59c9a-9d06-4023-ac3e-0d8da24dd637","SCBI_013.basePlot.vst","2018-01-09","vst_SCBI_2017","D02","SCBI","SCBI_013","32","1","32_01","ROMU","Rosa multiflora Thunb.","species",NA,NA,4,100,0,40.5,3.84,"","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",NA
"59911a74-e38a-4ddc-a737-31396894765f","SCBI_013.basePlot.vst","2018-01-09","vst_SCBI_2017","D02","SCBI","SCBI_013","32","1","32_01","LOJA","Lonicera japonica Thunb.","species",NA,NA,46,100,0,40.5,3.84,"","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",NA
"773cd622-b419-44c2-81fd-c1d22fd33e56","SCBI_013.basePlot.vst","2018-01-09","vst_SCBI_2017","D02","SCBI","SCBI_013","32","1","32_01","SYOR","Symphoricarpos orbiculatus Moench","species",NA,NA,20,100,0,40.5,3.84,"","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",NA
"45949721-e95e-4f9c-8ffb-c9336ec6f66e","SCBI_013.basePlot.vst","2018-01-09","vst_SCBI_2017","D02","SCBI","SCBI_013","32","1","32_01","ACNEN","Acer negundo L. var. negundo","variety",NA,NA,13,100,0,40.5,3.84,"","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",NA
"92e7bb51-6860-422a-b2c9-940c46a861a5","SCBI_016.basePlot.vst","2018-01-22","vst_SCBI_2017","D02","SCBI","SCBI_016","41","1","41_01","BETH","Berberis thunbergii DC.","species",NA,NA,100,100,0,7.1,1.66,"","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA",NA
"e037a9a6-807d-427b-9791-b928148f2187","SCBI_016.basePlot.vst","2018-01-22","vst_SCBI_2017","D02","SCBI","SCBI_016","40","3","40_02","BETH","Berberis thunbergii DC.","species",NA,NA,100,100,0,4.5,2.08,"","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA",NA
"fd2329d3-92b5-4b9a-bf9c-b60b113e8066","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","40",NA,"40_01","BETH","Berberis thunbergii DC.","species",NA,NA,100,100,0,14,2,"","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",NA
"55dbbac7-41a7-4967-9c99-c61b924ee6b4","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","40",NA,"40_19","BETH","Berberis thunbergii DC.","species",NA,NA,77,100,0,33,2.04,"","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",NA
"f1880356-c6a6-4994-99e9-0807fcfc865c","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","32",NA,"32_12","RUPH","Rubus phoenicolasius Maxim.","species",NA,NA,5,100,0,7,1.38,"contains former shrub groups 32_11 and 32_12; now combined as one shrub group","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA","F1aLHfHLM4qaIk0WIP5D+6fDrn//30Wj",NA
"daa43f9d-0faf-4271-8d63-c35fdd524e9b","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","40",NA,"40_04","SYOR","Symphoricarpos orbiculatus Moench","species",NA,NA,10,100,0,2,1.32,"","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",NA
"fc3c753b-78f7-4ee6-a97d-71c2d2074603","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","41",NA,"41_15","BETH","Berberis thunbergii DC.","species",NA,NA,99,100,0,8,1.62,"","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",NA
"3f8a9c8d-5635-4f25-8080-0443439df905","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","40",NA,"40_19","ROMU","Rosa multiflora Thunb.","species",NA,NA,20,100,0,33,2.04,"","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",NA
