TRY Data Explorer Output	2019-1-7
Trait List for Species
AccSpeciesID: 42541, .Plantago lanceolata.
TraitID	Trait	Measurements	
836	Bark sieve tubes grouping	1	
153	Buds: budbank height distribution	3	
153	Buds: budbank height distribution	153	
865	Buds: budbank seasonality	84	
324	Crown (canopy) length: diameter along the longest axis	1	
325	Crown (canopy) width	1	
890	Dispersal frequenzy	1	
28	Dispersal syndrome	10	
28	Dispersal syndrome	1905	
28	Dispersal syndrome	25	
28	Dispersal syndrome	1	
892	Dispersal unit appendages	5	
892	Dispersal unit appendages	1	
233	Dispersal unit dry mass	1	
893	Dispersal unit exposure 	1	
1263	Dispersal unit floating capacity	1043	
237	Dispersal unit length	1	
237	Dispersal unit length	11	
232	Dispersal unit shape	3	
894	Dispersal unit surface structure	1	
235	Dispersal unit thickness 	9	
231	Dispersal unit type	3	
231	Dispersal unit type	1079	
231	Dispersal unit type	1	
236	Dispersal unit width	9	
236	Dispersal unit width	1	
896	Fine root diameter	1	
207	Flower color	2	
204	Flower insemination autogamous or xenogamous	1	
210	Flower number of pollen per ovule	6	
205	Flower pollinator and type of reward	3	
213	Flower sex	4	
212	Flower sex timing	3	
211	Flower sexual self-incompatibility mechanism	3	
915	Flower sexual syndrome (dichogamy, cleistogamy, dioecious, monoecious)	4	
206	Flower type	1	
99	Fruit type	1	
130	Inflorescence dry mass per plant	6	
684	Inflorescence nitrogen (N) content per inflorscence dry mass	1	
3	Leaf angle (inclination, orientation)	6	
1	Leaf area 	(not yet refined if leaf or leaflet)	4	
1	Leaf area 	(not yet refined if leaf or leaflet)	5	
3114	Leaf area (in case of compound leaves undefined: leaf or leaflet; petiole and rachis in- excluded)	4	
3114	Leaf area (in case of compound leaves undefined: leaf or leaflet; petiole and rachis in- excluded)	22	
3108	Leaf area (in case of compound leaves: leaf, petiole excluded)	5	
3108	Leaf area (in case of compound leaves: leaf, petiole excluded)	3	
3110	Leaf area (in case of compound leaves: leaf, petiole included)	71	
3110	Leaf area (in case of compound leaves: leaf, petiole included)	13	
3110	Leaf area (in case of compound leaves: leaf, petiole included)	10	
3112	Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)	6	
3109	Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)	4	
3113	Leaf area (in case of compound leaves: leaflet, undefined if petiole and rachis are in- or excluded)	3	
3113	Leaf area (in case of compound leaves: leaflet, undefined if petiole and rachis are in- or excluded)	9	
11	Leaf area per leaf dry mass (SLA or 1/LMA): not yet refined if petiole is included	8	
11	Leaf area per leaf dry mass (SLA or 1/LMA): not yet refined if petiole is included	7	
3115	Leaf area per leaf dry mass (SLA or 1/LMA): petiole and rachis excluded	6	
3115	Leaf area per leaf dry mass (SLA or 1/LMA): petiole and rachis excluded	57	
3116	Leaf area per leaf dry mass (SLA or 1/LMA): petiole and rachis included	19	
3116	Leaf area per leaf dry mass (SLA or 1/LMA): petiole and rachis included	101	
3116	Leaf area per leaf dry mass (SLA or 1/LMA): petiole and rachis included	34	
3117	Leaf area per leaf dry mass (SLA or 1/LMA): undefined if petiole and rachis are in- or excluded	16	
3117	Leaf area per leaf dry mass (SLA or 1/LMA): undefined if petiole and rachis are in- or excluded	44	
125	Leaf area per leaf fresh mass (specific leaf area (SLA) based on leaf fresh mass)	3	
3037	Leaf area per leaf perimeter	5	
410	Leaf area per plant	5	
410	Leaf area per plant	6	
109	Leaf area per plant dry mass (leaf area ratio; LAR)	9	
570	Leaf carbon (C) content per leaf area	3	
570	Leaf carbon (C) content per leaf area	6	
13	Leaf carbon (C) content per leaf dry mass	6	
13	Leaf carbon (C) content per leaf dry mass	21	
13	Leaf carbon (C) content per leaf dry mass	11	
146	Leaf carbon/nitrogen (C/N) ratio	9	
146	Leaf carbon/nitrogen (C/N) ratio	6	
146	Leaf carbon/nitrogen (C/N) ratio	3	
92	Leaf cellulose content per leaf dry mass	1	
416	Leaf chlorophyll a/b ratio	1	
413	Leaf chlorophyll content per leaf area	1	
17	Leaf compoundness	25	
17	Leaf compoundness	1	
48	Leaf density	3	
48	Leaf density	41	
16	Leaf distribution along the shoot axis (arrangement type)	3	
16	Leaf distribution along the shoot axis (arrangement type)	26	
55	Leaf dry mass	89	
55	Leaf dry mass	14	
55	Leaf dry mass	18	
47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	81	
47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	34	
