Species;ID;species;treatment;replicate;treatment nb;leaveas area nub;collection date;X coord;y coord;altitude;avg altitude;altitude class;Av_Weight;Av_SLA;%damage;Av_height;Av_photosynt;Av_toughness;Weight(mg)CN;Nitrogen%;Carbon%;CN;Hydrogen%;GLS_total;GLS.C;GLSInduced;VOC_Total;vocsC;vocsInduced
alpina;ALP0608C1;C_alpina;C;1;C1;NA;6.08;672756;147683;2490;2450.298246;H;192;18.99874477;0;3.5;44.46666667;32;10.15;3.294;42.531;12.91165756;5.967;59.81477806;59.81477806;-11.16752275;4.478074639;4.478074639;4.17264851
alpina;ALP0608C2;C_alpina;C;2;C2;NA;6.08;672756;147683;2490;2450.298246;H;103;14.9412069;0;2;36.76666667;30;7.9;3.633;40.335;11.10239472;5.58;97.44668086;97.44668086;-48.79942555;8.591203085;8.591203085;0.059520064
alpina;ALP0608C3;C_alpina;C;3;C3;NA;6.08;672756;147683;2490;2450.298246;H;59;15.8682058;7.5;6;32.76666667;72;5.55;3.447;39.885;11.57093124;5.439;55.22027345;55.22027345;-6.573018138;2.974439118;2.974439118;5.676284031
alpina;ALP0608C4;C_alpina;C;4;C4;NA;6.08;672756;147683;2490;2450.298246;H;76;16.02481663;5;4;48.26666667;60;6.39;3.368;40.079;11.89994062;5.586;41.26839901;41.26839901;7.378856303;9.113186651;9.113186651;-0.462463502
alpina;ALP0608JA1;C_alpina;JA;1;JA1;NA;6.08;672756;147683;2490;2450.298246;H;253;13.3399597;5;4.5;38.33333333;62;10.44;4.742;40.083;8.452762547;5.766;60.08966023;NA;NA;6.536295284;NA;NA
alpina;ALP0608JA2;C_alpina;JA;2;JA2;NA;6.08;672756;147683;2490;2450.298246;H;272;14.31019849;5;5;34.13333333;30;10.25;4.374;40.109;9.169867398;5.643;9.07892137;NA;NA;10.19112997;NA;NA
alpina;ALP0608JA3;C_alpina;JA;3;JA3;NA;6.08;672756;147683;2490;2450.298246;H;148;13.90413165;5;5;34.73333333;20;10.01;4.267;40.683;9.534333255;5.784;76.36391205;NA;NA;5.262597033;NA;NA
alpina;ALP0608JA4;C_alpina;JA;4;JA4;NA;6.08;672756;147683;2490;2450.298246;H;166;22.51396761;0;6.5;41.7;54;8.68;3.573;41.173;11.52336972;5.7;49.0565276;NA;NA;12.61287031;NA;NA
amara;AMA0608C1;C_amara;C;1;C1;NA;6.08;702633;150902;1490;954.1896552;M;123;12.46031746;5;25;29.03333333;43;10.26;4.892;38.93;7.957890433;5.643;62.18240628;62.18240628;-16.88103003;29.16017343;29.16017343;137.2040633
amara;AMA0608C2;C_amara;C;2;C2;NA;6.08;702633;150902;1490;954.1896552;M;467;12.32339089;10;20;32.26666667;54;9.86;3.986;37.923;9.514049172;5.644;43.3658601;43.3658601;1.935516153;5.279340043;5.279340043;161.0848967
amara;AMA0608C3;C_amara;C;3;C3;NA;6.08;702633;150902;1490;954.1896552;M;36;12.99668874;10;32;27.23333333;65;6.44;4.813;37.983;7.891751506;5.501;48.24983361;48.24983361;-2.948457358;4.932066171;4.932066171;161.4321706
amara;AMA0608C4;C_amara;C;4;C4;NA;6.08;702633;150902;1490;954.1896552;M;64;24.30340557;5;28;28.85;56;8.77;4.145;37.885;9.139927624;5.446;58.58166744;58.58166744;-13.28029119;7.769246467;7.769246467;158.5949903
amara;AMA0608JA1;C_amara;JA;1;JA1;NA;6.08;702633;150902;1490;954.1896552;M;321;13.41880342;5;15;29.06666667;72;10.92;4.294;37.416;8.713553796;5.452;41.091391;NA;NA;47.50442167;NA;NA
amara;AMA0608JA2;C_amara;JA;2;JA2;NA;6.08;702633;150902;1490;954.1896552;M;247;14.27272727;10;26;29.86666667;52;10.26;4.765;38.831;8.149213012;5.524;43.99368045;NA;NA;382.1796627;NA;NA
amara;AMA0608JA3;C_amara;JA;3;JA3;NA;6.08;702633;150902;1490;954.1896552;M;663;8.263157895;15;31;31.76666667;59;10.49;3.665;37.719;10.29167804;5.465;45.86131221;NA;NA;146.0934184;NA;NA
amara;AMA0608JA4;C_amara;JA;4;JA4;NA;6.08;702633;150902;1490;954.1896552;M;238;16.42259414;10;32;21.93333333;65;10.42;4.292;37.542;8.746971109;5.446;50.25912135;NA;NA;89.67944429;NA;NA
NA;NA;C_asarifolia;C;1;C1;NA;NA;NA;NA;NA;998.8888889;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;44.12138149;44.12138149;NA;4.264650007;4.264650007;14.2422016
NA;NA;C_asarifolia;C;2;C2;NA;NA;NA;NA;NA;998.8888889;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.9627312;10.9627312;7.544120406
NA;NA;C_asarifolia;C;3;C3;NA;NA;NA;NA;NA;998.8888889;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.566933245;2.566933245;15.93991836
NA;NA;C_asarifolia;C;4;C4;NA;NA;NA;NA;NA;998.8888889;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;C_asarifolia;JA;1;JA1;NA;NA;NA;NA;NA;998.8888889;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.82622713;NA;NA
NA;NA;C_asarifolia;JA;2;JA2;NA;NA;NA;NA;NA;998.8888889;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.361814469;NA;NA
NA;NA;C_asarifolia;JA;3;JA3;NA;NA;NA;NA;NA;998.8888889;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25.33251322;NA;NA
NA;NA;C_asarifolia;JA;4;JA4;NA;NA;NA;NA;NA;998.8888889;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bulbifera;BUL1805C1;C_bulbifera;C;1;L1;NA;17.05;717687;78633;336;581;L;323;50.42710786;20;33;33.46666667;50.66666667;NA;NA;NA;NA;NA;25.55497957;25.55497957;21.69476137;12.54680079;12.54680079;118.7505139
bulbifera;BUL1805C2;C_bulbifera;C;2;L2;NA;17.05;717687;78633;336;581;L;486;33.0415677;15;22;33.5;48;10.5;4.371;42.218;9.658659346;5.943;60.95326144;60.95326144;-13.70352051;19.23953553;19.23953553;112.0577792
bulbifera;BUL1805C3;C_bulbifera;C;3;L3;NA;17.05;717687;78633;336;581;L;236;96.52373089;50;42;35;44;10;3.83;42.235;11.02741514;6.006;15.47826797;15.47826797;31.77147297;7.370187207;7.370187207;123.9271275
