site,plot,species,leaf,lma,cover,gli,x,y,N_leaf,N_soil,P_soil,P_leaf
exploradores,Exp01,EmCo,14.1299,37.4383,10,10.33,1410,8983,1.484,109,17,0.1578
exploradores,Exp01,LoFe,46.2659,67.2417,10,10.33,1410,8983,1.1028,109,17,0.0892
exploradores,Exp01,MaMa,9.1225,51.6854,10,10.33,1410,8983,NA,109,17,NA
exploradores,Exp01,RiMa,19.2668,26.3147,10,10.33,1410,8983,NA,109,17,NA
exploradores,Exp01,RaLa,19.8837,45.9456,30,10.33,1410,8983,NA,109,17,NA
exploradores,Exp01,AmLu,4.4726,59.8089,20,10.33,1410,8983,NA,109,17,NA
exploradores,Exp01,AzLa,2.3723,24.5193,10,10.33,1410,8983,NA,109,17,NA
exploradores,Exp01,PoNu,1.1207,76.7395,10,10.33,1410,8983,NA,109,17,NA
exploradores,Exp02,LoFe,26.8339,54.7442,10,9.52,1400,8930,1.2052,100,10,0.1606
exploradores,Exp02,EmCo,26.543,44.4938,10,9.52,1400,8930,NA,100,10,0.1948
exploradores,Exp02,DrWi,29.14,72.6664,10,9.52,1400,8930,NA,100,10,NA
exploradores,Exp02,MaMa,12.2074,50.9529,20,9.52,1400,8930,NA,100,10,NA
exploradores,Exp02,RaLa,21.1855,49.5386,20,9.52,1400,8930,NA,100,10,NA
exploradores,Exp02,AmLu,3.6251,83.308,20,9.52,1400,8930,NA,100,10,NA
exploradores,Exp02,PoNu,1.341,85.0128,10,9.52,1400,8930,NA,100,10,NA
exploradores,Exp03,DrWi,47.0381,75.5983,20,10.96,1450,8942,NA,152,4,NA
exploradores,Exp03,LoFe,23.8461,97.0809,20,10.96,1450,8942,1.1233,152,4,0.115
exploradores,Exp03,RaLa,17.1457,61.3275,30,10.96,1450,8942,NA,152,4,NA
exploradores,Exp03,FuMa,6.2148,28.8557,10,10.96,1450,8942,NA,152,4,NA
exploradores,Exp03,AzLa,2.6738,33.9714,10,10.96,1450,8942,NA,152,4,NA
exploradores,Exp03,EsRu,2.209,45.8363,10,10.96,1450,8942,NA,152,4,NA
exploradores,Exp03,EmCo,20.0124,41.0212,10,10.96,1450,8942,1.132,152,4,0.1004
exploradores,Exp04,LoFe,48.232,81.1702,20,13.24,1415,8905,1.0352,110,38,0.0833
exploradores,Exp04,EmCo,25.4604,40.2979,15,13.24,1415,8905,1.6077,110,38,0.1773
exploradores,Exp04,RaLa,27.4902,45.1798,30,13.24,1415,8905,NA,110,38,NA
exploradores,Exp04,AzLa,1.4674,41.6851,15,13.24,1415,8905,NA,110,38,NA
exploradores,Exp04,PoNu,0.9673,115.5771,20,13.24,1415,8905,NA,110,38,NA
exploradores,Exp05,RaLa,14.4437,54.8684,30,13.58,1442,8885,NA,115,67,NA
exploradores,Exp05,MaMa,8.1221,57.2512,30,13.58,1442,8885,NA,115,67,NA
exploradores,Exp05,DrWi,26.8281,73.8405,20,13.58,1442,8885,NA,115,67,NA
exploradores,Exp05,LoFe,20.219,64.7905,10,13.58,1442,8885,1.393,115,67,0.227
exploradores,Exp05,EmCo,16.9576,41.1025,10,13.58,1442,8885,1.27,115,67,0.1919
exploradores,Exp06,LoFe,12.4775,54.418,10,16.09,1412,8825,0.70944,126,20,0.0846
exploradores,Exp06,RaLa,18.9873,53.7201,30,16.09,1412,8825,NA,126,20,NA
exploradores,Exp06,MaMa,11.8465,46.132,20,16.09,1412,8825,NA,126,20,NA
exploradores,Exp06,AmLu,3.4081,47.6075,20,16.09,1412,8825,NA,126,20,NA
exploradores,Exp06,PoNu,1.4093,67.9427,10,16.09,1412,8825,NA,126,20,NA
exploradores,Exp06,DrWi,32.2152,83.0974,10,16.09,1412,8825,0.88042,126,20,0.0855
exploradores,Exp07,FuMa,8.5647,21.8337,10,11.63,1466,8823,NA,142,56,NA
exploradores,Exp07,RaLa,15.0872,44.0108,25,11.63,1466,8823,NA,142,56,NA
exploradores,Exp07,EmCo,13.0842,43.4111,10,11.63,1466,8823,1.2696,142,56,NA
exploradores,Exp07,LaPh,22.5359,51.7397,10,11.63,1466,8823,NA,142,56,NA
exploradores,Exp07,LoFe,9.3996,53.5129,10,11.63,1466,8823,1.0688,142,56,0.1428
exploradores,Exp07,AzLa,1.5473,34.2534,25,11.63,1466,8823,NA,142,56,NA
exploradores,Exp07,PoNu,0.7597,58.9087,10,11.63,1466,8823,NA,142,56,NA
exploradores,Exp08,LoFe,23.8577,53.7772,15,16.64,1460,8815,1.0805,112,10,0.1151
exploradores,Exp08,DrWi,10.8175,82.598,15,16.64,1460,8815,NA,112,10,NA
exploradores,Exp08,RaLa,17.407,40.1851,20,16.64,1460,8815,NA,112,10,NA
exploradores,Exp08,AmLu,5.0241,57.5895,20,16.64,1460,8815,NA,112,10,NA
exploradores,Exp08,EmCo,10.2472,30.3823,10,16.64,1460,8815,1.493,112,10,0.1543
exploradores,Exp08,MaMa,8.5802,43.9384,10,16.64,1460,8815,NA,112,10,NA
exploradores,Exp08,PoNu,0.9735,89.7791,10,16.64,1460,8815,NA,112,10,NA
exploradores,Exp09,LoFe,21.0193,56.234,10,10.82,1590,8875,1.0836,105,16,0.093
exploradores,Exp09,EmCo,23.433,41.352,20,10.82,1590,8875,1.5559,105,16,0.1498
