"Elevation" "LU_InSitu" "LU_ComGard" "LS_InSitu" "LS_ComGard" "CD_InSitu" "CD_ComGard"
131 95.3187 110.8612 311.4232 298.2385 218.045 188.6229
1235 126.0099 117.3674 302.7458 299.5024 176.6074 182.6608
1630 144.9726 119.3474 291.5192 297.7685 149.7269 180.0271
387 95.9479 113.2546 310.8743 296.2576 218.004 185.7588
803 117.8401 116.8306 299.69 302.9436 179.9501 185.5224
259 92.3534 110.9287 304.6455 293.4521 213.8619 186.0344
1194 124.3858 114.6618 295.1249 294.5864 169.59 181.7639
1614 140.7817 115.7465 289.5929 294.9277 150.838 180.5922
422 97.2733 112.9583 305.2815 297.125 210.0668 186.496
841 117.1242 113.6621 298.2163 296.4814 179.2055 184.3941
