Site,Replicate plot,CWM_SLA,CMW_Root,CMW_Hmax,CMW_RS,CMW_LeafN,CMW_RootN,CMW_Leafd15N,CMW_Leafd13C,CMW_Rootd15N,lnSilt,lnPrimprod,,,,,,,,,,,,,,,,,,,,,,,,,
O1,1,0.294,1.152,-0.362,-0.854,1.763,0.999,-0.599,0.603,-0.058,-1.156,4.871,,,,,,,,,,,,,,,,,,,,,,,,,
O1,2,-1.711,1.023,0.179,-1.260,-0.194,1.184,-1.478,1.475,-1.709,-1.156,4.778,,,,,,,,,,,,,,,,,,,,,,,,,
O1,3,0.039,-0.574,-1.535,0.351,-0.376,-0.742,0.759,-0.759,0.713,-1.156,4.031,,,,,,,,,,,,,,,,,,,,,,,,,
O1,4,0.559,-0.712,0.915,0.822,-0.582,-0.652,0.582,-0.583,0.446,-1.156,5.330,,,,,,,,,,,,,,,,,,,,,,,,,
O1,5,0.820,-0.889,0.803,0.940,-0.611,-0.790,0.737,-0.737,0.608,-1.156,5.255,,,,,,,,,,,,,,,,,,,,,,,,,
O2,1,0.102,0.093,-0.399,0.496,-0.030,-0.073,0.058,-0.084,-0.307,-1.010,4.974,,,,,,,,,,,,,,,,,,,,,,,,,
O2,2,-0.663,-1.567,1.310,-0.087,-1.114,-1.082,1.548,-0.942,-0.355,-1.010,5.155,,,,,,,,,,,,,,,,,,,,,,,,,
O2,3,0.918,0.918,-0.632,0.602,0.546,0.599,0.160,0.676,1.015,-1.010,4.592,,,,,,,,,,,,,,,,,,,,,,,,,
O2,4,0.971,0.797,-1.058,0.693,1.367,1.353,-0.963,1.312,0.983,-1.010,4.595,,,,,,,,,,,,,,,,,,,,,,,,,
O2,5,-1.328,-0.240,0.779,-1.704,-0.769,-0.797,-0.804,-0.963,-1.336,-1.010,5.394,,,,,,,,,,,,,,,,,,,,,,,,,
O3,1,-1.368,-1.208,0.573,-0.144,-1.154,-0.981,1.005,-1.219,1.152,-1.623,4.893,,,,,,,,,,,,,,,,,,,,,,,,,
O3,2,0.779,0.438,-0.644,1.278,0.689,0.653,-0.780,0.721,-0.685,-1.623,4.055,,,,,,,,,,,,,,,,,,,,,,,,,
O3,3,-0.011,-0.713,1.319,0.752,-1.033,-1.198,1.181,-0.963,1.035,-1.623,4.762,,,,,,,,,,,,,,,,,,,,,,,,,
O3,4,1.119,1.350,-0.018,-0.907,0.706,0.688,-0.708,0.713,-0.706,-1.623,5.009,,,,,,,,,,,,,,,,,,,,,,,,,
O3,5,-0.520,0.132,-1.231,-0.978,0.792,0.838,-0.698,0.747,-0.796,-1.623,4.796,,,,,,,,,,,,,,,,,,,,,,,,,
O4,1,-0.363,-0.752,0.075,0.233,-0.804,-1.155,-1.055,-0.973,0.572,-1.448,4.951,,,,,,,,,,,,,,,,,,,,,,,,,
