species,accession.note,source,lma,gm
Acer mono,,reference in Niinemets et al 2009a,53.60,0.112
Acer mono,,reference in Niinemets et al 2009a,71.70,0.066
Acer palmatum,,reference in Niinemets et al 2009a,57.60,0.052
Acer rufinerve,,reference in Niinemets et al 2009a,73.30,0.047
Alnus japonica,,reference in Niinemets et al 2009a,80.50,0.109
Beta maritima subsp marcosii,,reference in Niinemets et al 2009a,35.55,0.175
Beta maritima subsp maritima,,reference in Niinemets et al 2009a,39.99,0.170
Camellia japonica,,reference in Niinemets et al 2009a,175.00,0.095
Castanea sativa cv. Bursa,,reference in Niinemets et al 2009a,30.00,0.088
Castanea sativa cv. Giresun,,reference in Niinemets et al 2009a,81.70,0.017
Castanea sativa cv. Hopa,,reference in Niinemets et al 2009a,96.00,0.050
Castanopsis sieboldii,,reference in Niinemets et al 2009a,90.00,0.063
Cinnamomum camphora,,reference in Niinemets et al 2009a,105.00,0.060
Cistus albidus,,reference in Niinemets et al 2009a,100.47,0.220
Citrus limon,,reference in Niinemets et al 2009a,99.00,0.183
Citrus paradisi,,reference in Niinemets et al 2009a,108.00,0.208
Dacrydium cupressinum,,reference in Niinemets et al 2009a,138.89,0.032
Digitalis minor var minor,,reference in Niinemets et al 2009a,114.30,0.237
Digitalis minor var palaui,,reference in Niinemets et al 2009a,127.00,0.111
Diplotaxis ibicensis,,reference in Niinemets et al 2009a,50.17,0.300
Eucalyptus globulus ,,reference in Niinemets et al 2009a,54.00,0.162
Fagus sylvatica,,reference in Niinemets et al 2009a,92.59,0.240
Fraxinus angustifolia,,reference in Niinemets et al 2009a,95.00,0.155
Hypericum balearicum,,reference in Niinemets et al 2009a,101.43,0.075
Juglans nigra x regia,,reference in Niinemets et al 2009a,88.70,0.206
Laurus nobilis,,reference in Niinemets et al 2009a,159.28,0.052
Ligustrum lucidum,,reference in Niinemets et al 2009a,131.66,0.090
Limonium gibertii,,reference in Niinemets et al 2009a,81.47,0.100
Limonium magallufianum,,reference in Niinemets et al 2009a,84.92,0.120
Lysimachia minoricensis,,reference in Niinemets et al 2009a,37.42,0.080
Macadamia integrifolia,,reference in Niinemets et al 2009a,142.00,0.113
Metrosideros umbellata,,reference in Niinemets et al 2009a,200.00,0.060
Nicotiana sylvestris,,reference in Niinemets et al 2009a,34.20,0.230
Nicotiana tabacum,,reference in Niinemets et al 2009a,46.65,0.420
Nicotiana tabacum,,reference in Niinemets et al 2009a,32.60,0.250
Nicotiana tabacum,,reference in Niinemets et al 2009a,30.30,0.404
Olea europaea,,reference in Niinemets et al 2009a,198.21,0.049
Phaseolus vulgaris,,reference in Niinemets et al 2009a,24.75,0.317
Phaseolus vulgaris,,reference in Niinemets et al 2009a,22.17,0.399
Phlomis italica,,reference in Niinemets et al 2009a,116.41,0.250
Pinus radiata,,reference in Niinemets et al 2009a,86.21,0.153
Pistacia lentiscus,,reference in Niinemets et al 2009a,187.64,0.050
Polygonum cuspidatum,,reference in Niinemets et al 2009a,42.20,0.196
Populus maximowiczii,,reference in Niinemets et al 2009a,72.80,0.108
Prumnopytis ferruginea,,reference in Niinemets et al 2009a,103.09,0.052
Prunus persica,,reference in Niinemets et al 2009a,55.00,0.372
Quercus glauca,,reference in Niinemets et al 2009a,90.24,0.075
Quercus ilex,,reference in Niinemets et al 2009a,205.29,0.041
Quercus phyllireaoides,,reference in Niinemets et al 2009a,164.20,0.140
Quercus robur,,reference in Niinemets et al 2009a,91.67,0.152
Rhamnus alaternus,,reference in Niinemets et al 2009a,110.50,0.079
Rhamnus ludovici-salvatoris,,reference in Niinemets et al 2009a,128.00,0.073
Vitis vinifera,,reference in Niinemets et al 2009a,155.41,0.129
Vitis vinifera cv. Tempranillo,,reference in Niinemets et al 2009a,65.00,0.250
Weinmannia racemosa,,reference in Niinemets et al 2009a,86.21,0.085
Astrotricha floccosa,,Niinemets et al 2009b,66.10,0.118
Synoum glandulosum,,Niinemets et al 2009b,93.90,0.076
Polyscias sambucifolia,,Niinemets et al 2009b,97.60,0.148
Acacia falcata,,Niinemets et al 2009b,131.60,0.055
Grevillea speciosa,,Niinemets et al 2009b,131.90,0.049
Banksia robur,,Niinemets et al 2009b,138.00,0.111
Persoonia laurina,,Niinemets et al 2009b,139.70,0.090
Syncarpia glomulifera,,Niinemets et al 2009b,144.50,0.120
Acacia myrtifolia,,Niinemets et al 2009b,145.20,0.113
Eriostemon australasius,,Niinemets et al 2009b,145.40,0.070
Xylomelum pyriforme,,Niinemets et al 2009b,150.60,0.069
Eucalyptus haemastoma,,Niinemets et al 2009b,161.40,0.025
Persoonia laurina,,Niinemets et al 2009b,161.70,0.052
Macadamia ternifolia,,Niinemets et al 2009b,165.40,0.080
Acacia suaveolens,,Niinemets et al 2009b,170.90,0.070
Banksia serrata,,Niinemets et al 2009b,172.60,0.050
Notelaea longifolia,,Niinemets et al 2009b,176.00,0.039
Persoonia levis,,Niinemets et al 2009b,177.70,0.061
Banksia aemula,,Niinemets et al 2009b,178.10,0.087
Persoonia lanceolata,,Niinemets et al 2009b,178.80,0.059
Angophora hispida,,Niinemets et al 2009b,178.90,0.055
Eucalyptus umbra,,Niinemets et al 2009b,198.30,0.055
Eucalyptus sclerophylla,,Niinemets et al 2009b,201.10,0.060
Lambertia formosa,,Niinemets et al 2009b,209.30,0.086
Eucalyptus fibrosa,,Niinemets et al 2009b,211.60,0.055
Banksia spinulosa,,Niinemets et al 2009b,219.80,0.041
Banksia marginata,,Niinemets et al 2009b,221.70,0.056
Lambertia formosa,,Niinemets et al 2009b,221.70,0.065
Corymbia gummifera,,Niinemets et al 2009b,224.00,0.040
Macrozamia communis,,Niinemets et al 2009b,228.40,0.110
Banksia integrifolia,,Niinemets et al 2009b,229.80,0.108
Banksia serrata,,Niinemets et al 2009b,249.50,0.090
Macrozamia spiralis,,Niinemets et al 2009b,250.40,0.055
Banksia oblongifolia,,Niinemets et al 2009b,258.30,0.110
Hakea dactyloides,,Niinemets et al 2009b,313.40,0.094
Solanum arcanum,TGRC LA2172,Muir et al 2014,27.67,0.230
Solanum chilense,TGRC LA0458,Muir et al 2014,26.29,0.206
Solanum galapagense,TGRC LA3909,Muir et al 2014,19.28,0.220
Solanum habrochaites,TGRC LA1777,Muir et al 2014,23.19,0.183
Solanum huaylasense,TGRC LA1360,Muir et al 2014,22.91,0.252
Solanum lycopersicoides,TGRC LA4126,Muir et al 2014,21.50,0.202
Solanum pennellii,TGRC LA0716,Muir et al 2014,39.63,0.156
