data sheet,column name,description,unit,also used in Bengtsson et al. 2016
bengtsson_etal_2018_LQ.csv,sample,used for a single sampling patch,,yes
bengtsson_etal_2018_LQ.csv,site,site name,,yes
bengtsson_etal_2018_LQ.csv,latitude,WGS84. Digital format.,,yes
bengtsson_etal_2018_LQ.csv,longitude,WGS84. Digital format.,,yes
bengtsson_etal_2018_LQ.csv,species.name,full scientific species name,,yes
bengtsson_etal_2018_LQ.csv,species.code,species and vegetation type combined into codes,,yes
bengtsson_etal_2018_LQ.csv,author.citation,"author citation for species name, following Flatberg, K. I. (2013) Norges torvmoser. Akademika, Oslo.",,yes
bengtsson_etal_2018_LQ.csv,section,sphagnum section/subgenus,,yes
bengtsson_etal_2018_LQ.csv,shade,"categories: 1open = open, 2semi = semi-open, 3dark = shaded",,yes
bengtsson_etal_2018_LQ.csv,vegetation.type,the type of vegetation community from which the sample came from,,yes
bengtsson_etal_2018_LQ.csv,microtopographical.position,the microtopographical position the species was sampled from,,yes
bengtsson_etal_2018_LQ.csv,HC_mg_g,holocellulose (mg per g litter dry weight),mg g-1,no
bengtsson_etal_2018_LQ.csv,sphagn_litter_mg_g,sphagnan (mg per g litter dry weight),mg g-1,no
bengtsson_etal_2018_LQ.csv,sphagn_HC_mg_g,sphagnan (mg per g HC dry weight),mg g-1,no
bengtsson_etal_2018_LQ.csv,phenolics_TA_mg_g,phenolics (tannic acid equivalent; mg per g litter dry mass),mg g-1,no
bengtsson_etal_2018_LQ.csv,phenolics_PHBA_mg_g,phenolics (p-hydroxy benzoic acid equivalent; mg per g litter dry mass),mg g-1,no
bengtsson_etal_2018_LQ.csv,KL_mg_g,lignin like phenolics (mg per g litter dry mass),mg g-1,no
bengtsson_etal_2018_LQ.csv,CEC_meq_g,cation exchange capacity (meq per g  litter dry mass),meq g-1,no
bengtsson_etal_2018_LQ.csv,N_mg_g,nitrogen (mg per g litter dry mass),mg g-1,yes
bengtsson_etal_2018_LQ.csv,C_mg_g,carbon (mg per g litter dry mass),mg g-1,yes
bengtsson_etal_2018_LQ.csv,CNratio,C/N mass ratio,,yes
bengtsson_etal_2018_LQ.csv,PO4_mg_g,phosphorus (mg per g litter dry mass),mg g-1,no
bengtsson_etal_2018_LQ.csv,abs_ratio_205_280,205/280 nm absorbance ratio (denotes carbohydrate chemical degradability),,no
bengtsson_etal_2018_LQ.csv,solubleKL_mg_g,soluble lignin like phenolics (mg per g litter dry mass),mg g-1 ,no
bengtsson_etal_2018_LQ.csv,totalKL_mg_g,total lignin like phenolics (mg per g litter dry mass),mg g-1,no
bengtsson_etal_2018_LQ.csv,solubleKL_perc_of_totalKL,solubleKL_mg_g fraction in totalKL_mg_g,%,no
bengtsson_etal_2018_LQ.csv,dev_100perc,(HC+total KL)/10–100,%,no
bengtsson_etal_2018_LQ.csv,HWT2012,height above water table 2012 ,mm,yes
bengtsson_etal_2018_LQ.csv,losslab2b,litter mass loss fraction in 14 months decay in laboratory,%,yes
