sample,site,latitude,longitude,species.name,species.code,author.citation,section,shade,vegetation.type,microtopographical.position,HC_mg_g,sphagn_litter_mg_g,sphagn_HC_mg_g,phenolics_TA_mg_g,phenolics_PHBA_mg_g,KL_mg_g,CEC_meq_g,N_mg_g,C_mg_g,CNratio,PO4_mg_g,abs_ratio_205_280,solubleKL_mg_g,totalKL_mg_g,solubleKL_perc_of_totalKL,dev_100perc,HWT2012,losslab2b,lossfield
AN1,Kulflyten,59.90254,15.83353,Sphagnum_angustifolium,AN,(Russow) C.E.O.Jensen,Cuspidata,1open,Mire edge,Low hummock,669.924,29.06160885,43.38046272,4.8879,6.7208,111.6803,0.5759,7.5820,438.9344,57.8919,0.6155,2.13,48.92730076,160.6076286,30.46387097,-16.94684696,110,63.68435834,33.71845462
AN10,Kulflyten,59.90254,15.83353,Sphagnum_angustifolium,AN,(Russow) C.E.O.Jensen,Cuspidata,1open,Mire edge,Low hummock,662.023,27.52104166,41.57110092,4.9772,6.8437,167.3597,0.6398,5.3030,441.0985,83.1786,0.2963,1.99,45.63713132,212.9967987,21.42620528,-12.49797993,170,62.54376739,21.234355
AN13,Kulflyten,59.90254,15.83353,Sphagnum_angustifolium,AN,(Russow) C.E.O.Jensen,Cuspidata,1open,Mire edge,Low hummock,692.302,34.21258721,49.41860465,4.4843,6.1659,142.7094,0.6175,6.1896,439.0716,70.9375,0.4202,2.06,43.32126255,186.0306731,23.28716111,-12.16675622,100,68.65252248,36.35069267
AN14,Kulflyten,59.90254,15.83353,Sphagnum_angustifolium,AN,(Russow) C.E.O.Jensen,Cuspidata,1open,Mire edge,Low hummock,658.067,35.23145898,53.53783823,3.4197,4.7021,178.2787,0.6399,6.4128,442.0842,68.9375,0.6323,2.06,39.3891266,217.6678151,18.09598106,-12.42656633,180,58.71376784,25.33141569
AN15,Kulflyten,59.90254,15.83353,Sphagnum_angustifolium,AN,(Russow) C.E.O.Jensen,Cuspidata,1open,Mire edge,Low hummock,686.140,39.42141137,57.4538857,3.6866,5.0691,289.7959,0.7245,6.0377,440.5660,72.9688,0.4735,2.08,34.24418403,324.0401024,10.56788459,1.018014135,120,62.26134365,18.90893279
BA1,Kulflyten,59.90254,15.83353,Sphagnum_balticum,BA,(Russow) C.E.O.Jensen,Cuspidata,1open,Open bog,Lawn,718.034,25.56008199,35.59732308,4.2586,5.8555,125.0000,0.5754,4.5365,439.6450,96.9130,0.1625,2.19,54.19421485,179.1942148,30.24328374,-10.27719619,30,46.22098462,3.590116405
BA3,Kulflyten,59.90254,15.83353,Sphagnum_balticum,BA,(Russow) C.E.O.Jensen,Cuspidata,1open,Open bog,Lawn,707.496,38.85094389,54.9132948,3.8254,5.2599,212.1212,0.6243,4.4834,440.5458,98.2609,0.1489,2.22,51.19569481,263.3169069,19.4426159,-2.918695706,75,39.09277627,5.380787653
BA7,Kulflyten,59.90254,15.83353,Sphagnum_balticum,BA,(Russow) C.E.O.Jensen,Cuspidata,1open,Open bog,Lawn,721.404,28.12695853,38.98916968,3.9840,5.4780,222.1085,0.6593,4.4715,444.1057,99.3182,0.1935,2.10,48.70076957,270.809265,17.98342076,-0.778633571,45,47.91132896,27.83095052
BA8,Kulflyten,59.90254,15.83353,Sphagnum_balticum,BA,(Russow) C.E.O.Jensen,Cuspidata,1open,Open bog,Lawn,738.026,39.33224221,53.2938564,3.2130,4.4179,130.4802,0.6137,4.5929,445.5115,97.0000,0.1494,2.16,57.04466825,187.5248353,30.41979382,-7.444934216,40,55.86015936,14.14394884
BA9,Kulflyten,59.90254,15.83353,Sphagnum_balticum,BA,(Russow) C.E.O.Jensen,Cuspidata,1open,Open bog,Lawn,716.341,26.95351078,37.62662808,5.2675,7.2428,133.8912,0.6310,4.1985,440.8397,105.0000,0.1466,2.06,49.89077509,183.7819885,27.14671633,-9.987662879,50,33.05554793,14.54442284
CA3,Kulflyten,59.90254,15.83353,Sphagnum_capillifolium,CA,(Ehrh.) Hedw.,Acutifolia,2semi,Pine bog,Hummock,702.431,46.10915392,65.64224974,6.1830,8.5017,359.0010,0.9056,5.4717,442.0755,80.7931,0.2580,2.23,40.24312777,399.2441683,10.07982858,10.16752109,280,11.92593845,12.48671475
CA4,Kulflyten,59.90254,15.83353,Sphagnum_capillifolium,CA,(Ehrh.) Hedw.,Acutifolia,2semi,Pine bog,Hummock,688.710,,,5.8609,8.0587,237.8543,0.8773,4.2169,443.9759,105.2857,0.1792,2.14,47.11162943,284.9658804,16.53237551,-2.632431471,230,6.478906193,2.386917996
