Massachusetts, Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -99
Date,Value
198801,1301
198802,1030
198803,892
198804,605
198805,271
198806,62
198807,0
198808,4
198809,163
198810,563
198811,682
198812,1123
198901,1081
198902,1074
198903,937
198904,644
198905,231
198906,41
198907,7
198908,18
198909,114
198910,421
198911,754
198912,1484
199001,980
199002,954
199003,851
199004,573
199005,358
199006,51
199007,0
199008,7
199009,136
199010,306
199011,649
199012,895
199101,1208
199102,910
199103,808
199104,479
199105,143
199106,34
199107,4
199108,7
199109,159
199110,372
199111,690
199112,1017
199201,1169
199202,1007
199203,995
199204,651
199205,313
199206,65
199207,23
199208,33
199209,139
199210,531
199211,771
199212,1056
199301,1132
199302,1203
199303,1002
199304,566
199305,223
199306,47
199307,0
199308,9
199309,123
199310,507
199311,715
199312,1064
199401,1437
199402,1172
199403,929
199404,508
199405,312
199406,17
199407,0
199408,25
199409,151
199410,440
199411,595
199412,935
199501,1006
199502,1100
199503,844
199504,626
199505,321
199506,42
199507,0
199508,13
199509,165
199510,333
199511,812
199512,1196
199601,1213
199602,1066
199603,1003
199604,575
199605,304
199606,37
199607,9
199608,14
199609,119
199610,461
199611,838
199612,896
199701,1192
199702,883
199703,940
199704,628
199705,355
199706,48
199707,4
199708,22
199709,126
199710,484
199711,791
199712,1025
199801,1020
199802,855
199803,813
199804,523
199805,182
199806,64
199807,1
199808,8
199809,81
199810,412
199811,715
199812,886
199901,1169
199902,938
199903,855
199904,538
199905,236
199906,15
199907,0
199908,15
199909,60
199910,470
199911,582
199912,963
200001,1247
200002,947
200003,735
200004,579
200005,268
200006,47
200007,20
200008,28
200009,137
200010,436
200011,723
200012,1199
200101,1218
200102,1011
200103,977
200104,560
200105,222
200106,18
200107,19
200108,0
200109,99
200110,380
200111,594
200112,867
200201,982
200202,890
200203,838
200204,481
200205,307
200206,67
200207,0
200208,3
200209,57
200210,488
200211,754
200212,1098
200301,1383
200302,1156
200303,922
200304,655
200305,335
200306,68
200307,0
200308,4
200309,88
200310,481
200311,644
200312,1001
200401,1446
200402,1018
200403,865
200404,531
200405,213
200406,68
200407,9
200408,13
200409,94
200410,442
200411,711
200412,1041
200501,1262
200502,1012
200503,1019
200504,501
200505,417
200506,19
200507,0
200508,0
200509,52
200510,378
200511,653
200512,1106
200601,962
200602,1004
200603,896
200604,507
200605,273
200606,32
200607,0
200608,17
200609,136
200610,441
200611,554
200612,839
200701,1060
200702,1159
200703,928
200704,638
200705,211
200706,43
200707,3
200708,11
200709,77
200710,271
200711,764
200712,1105
200801,1108
200802,989
200803,915
200804,510
200805,322
200806,22
200807,0
200808,26
200809,95
200810,468
200811,731
200812,1002
200901,1362
200902,989
200903,904
200904,488
200905,243
200906,93
200907,17
200908,4
200909,149
200910,489
200911,566
200912,1081
201001,1181
201002,973
201003,713
201004,420
201005,157
201006,18
201007,0
201008,8
201009,54
201010,396
201011,694
201012,1113
201101,1286
201102,1073
201103,888
201104,506
201105,213
201106,48
201107,0
201108,7
201109,53
201110,359
201111,561
201112,872
201201,1033
201202,853
201203,636
201204,464
201205,164
201206,52
201207,0
201208,4
201209,102
201210,338
201211,750
201212,904
201301,1126
201302,995
201303,902
201304,544
201305,226
201306,24
201307,0
201308,19
201309,122
201310,388
201311,757
201312,1073
201401,1260
201402,1110
201403,1078
201404,559
201405,239
201406,40
201407,0
201408,26
201409,92
201410,341
201411,758
201412,899
201501,1295
201502,1378
201503,1077
201504,566
201505,132
201506,73
201507,0
201508,4
201509,35
201510,435
201511,586
201512,692
201601,1097
201602,929
201603,728
201604,588
201605,242
201606,35
201607,0
201608,0
201609,55
201610,370
201611,655
201612,1018
201701,1006
201702,870
201703,1009
201704,432
201705,294
201706,36
201707,3
201708,18
201709,48
201710,220
201711,711
201712,1154
201801,1216
201802,829
201803,907
201804,658
201805,150
201806,52
201807,0
201808,0
201809,47
201810,435
201811,781
201812,988
201901,1164
