year,MOCL,WiTemp,SprTemp,SuTemp,FaTemp_prev,JanPDSI,FebPDSI,MarPDSI,AprPDSI,MayPDSI,JunPDSI,JulPDSI,AugPDSI,SepPDSI,OctPDSI,NovPDSI,DecPDSI,WiPDSI,SprPDSI,SuPDSI,FaPDSI,MOCL_fall
1991,0.14025981,31.6,58.8,66.4,44,-0.35,-0.88,-0.58,-0.86,-0.99,-1.39,-1.69,1.07,2.08,2.76,-0.53,-0.14,-0.603333333,-1.08,0.486666667,0.696666667,0.07355417
1992,0.12222092,28.9,53.9,64.5,41.5,-0.5,-0.94,-0.76,-1,-1.54,0.55,0.74,1.55,1.45,2.02,2.13,-0.17,-0.733333333,-0.663333333,1.246666667,1.326666667,0.0845453
1993,0.09921894,26.8,56.2,67.2,38.3,1.48,1.47,2.42,2.58,-1,-1.57,-2.07,-2.84,0.18,1.2,1.49,2.15,1.79,0.003333333,-1.576666667,1.613333333,0.06785447
1994,0.16897609,24.3,56.6,66.9,39.1,1.33,0.87,1.74,-0.54,-0.2,-0.7,-0.85,0.55,0.78,0.27,0.26,0.87,1.313333333,-0.48,0.16,0.466666667,0.16128316
1995,0.15975872,31.2,54.6,66.9,42.7,-0.36,-0.54,-1.11,-1.57,-1.73,-2.05,-2.21,-2.8,-2.83,-0.82,-0.96,-0.43,-0.67,-1.783333333,-2.613333333,-0.736666667,0.10180931
1996,0.1954661,27.5,55.3,66.3,38.5,2.3,1.98,1.51,2.51,2.38,1.83,2.84,2.23,3.24,1.44,2.03,1.36,1.93,2.24,2.77,1.61,0.15914305
1997,0.17222295,30.5,53.9,65.9,40.2,-0.1,-0.62,0.22,0.76,0.69,-0.87,-1.08,-0.81,-1.47,4.65,4,4.66,-0.166666667,0.193333333,-1.12,4.436666667,0.1628665
1998,0.15895501,34.2,57,67.9,39.1,1.04,1.45,1.65,1.27,1.39,3.27,-0.21,-0.61,-1.16,-1.97,0.55,0.28,1.38,1.976666667,-0.66,-0.38,0.14790559
1999,0.11431707,31,57.4,68.6,42.3,1,1.06,1.28,-1.2,-1.07,-1.91,-2.33,-2.68,1.41,-0.7,-1.27,-2,1.113333333,-1.393333333,-1.2,-1.323333333,0.06748524
2000,0.24501,31.4,55.5,64.7,42.2,-0.92,0.07,0.05,0.82,0.77,1.59,2.36,2.31,2.16,1.9,-0.46,-0.96,-0.266666667,1.06,2.276666667,0.16,0.25307917
2001,0.20044698,28.3,57.1,66.9,38.4,-0.63,-0.77,1.91,-0.91,-1.16,0.67,0.69,-0.18,-0.3,-0.21,-0.33,-0.1,0.17,-0.466666667,0.07,-0.213333333,0.13136362
2002,0.1331764,34,55.7,69.1,44.1,-3.05,-3.19,-2.81,-2.75,-1.82,-1.28,-1.75,-2.14,-2.04,-1.24,-2.5,-2.96,-3.016666667,-1.95,-1.976666667,-2.233333333,0.05130749
2003,0.07988504,25.4,53.7,68.4,38.6,0.79,1.08,1.18,1.23,1.31,1.87,1.37,1.8,2.13,0.18,0.77,1.23,1.016666667,1.47,1.766666667,0.726666667,0.05383413
2004,0.12974983,27.1,56.4,66.8,40.9,-0.79,-1.37,-1.83,1.27,-0.11,-0.59,0.14,0.72,1.84,2.96,2.27,2.73,-1.33,0.19,0.9,2.653333333,0.09821311
2005,0.13250332,27.5,55.9,69.4,40.2,1.66,1.27,1.63,1.7,2.01,-0.58,-0.77,-1.21,-1.7,1.37,1.16,1.3,1.52,1.043333333,-1.226666667,1.276666667,0.10345948
2006,0.25479882,32.2,56.7,67.3,40.8,3.57,2.83,1.3,0.65,2.19,4.01,3.49,3.35,2.73,3.54,3.52,3.2,2.566666667,2.283333333,3.19,3.42,0.18368758
2007,0.13362796,28.8,55.8,67.6,44.3,1.98,1.28,1.66,3.04,-0.29,-0.52,-0.07,-0.94,-1.47,3.25,3.3,2.34,1.64,0.743333333,-0.826666667,2.963333333,0.05986544
2008,0.1598186,30.5,56.5,67.3,41,0,2.4,2.78,2.35,1.63,1.6,2.71,2.67,3.94,-1.72,-1.94,0.46,1.726666667,1.86,3.106666667,-1.066666667,0.12093578
2009,0.17366952,27.9,56,66.1,40.1,3.62,2.59,1.98,1.72,1.51,2.13,4.12,4.15,3.38,3.52,3.13,3.99,2.73,1.786666667,3.883333333,3.546666667,0.08923675
2010,0.09454766,32.2,59.5,69.6,40.9,2.88,3.14,5.07,-1.2,-1.61,-1.78,-2.17,-2.23,-2.72,4.08,3.28,3.34,3.696666667,-1.53,-2.373333333,3.566666667,0.04858311
,,,,,,,,,,,,,,,,,,,,,,
