year,Au_sum_cdd,Au_sum_hdd,Au_sum_precip,Au_mean_pdsi,Au_mean_avg_temp,Au_mean_max_temp,Au_mean_min_temp,Sp_sum_cdd,Sp_sum_hdd,Sp_sum_precip,Sp_mean_pdsi,Sp_mean_avg_temp,Sp_mean_max_temp,Sp_mean_min_temp,Su_sum_cdd,Su_sum_hdd,Su_sum_precip,Su_mean_pdsi,Su_mean_avg_temp,Su_mean_max_temp,Su_mean_min_temp,Wi_sum_cdd,Wi_sum_hdd,Wi_sum_precip,Wi_mean_pdsi,Wi_mean_avg_temp,Wi_mean_max_temp,Wi_mean_min_temp,Au_sum_cdd_prev,Au_sum_hdd_prev,Au_sum_precip_prev,Au_mean_pdsi_prev,Au_mean_avg_temp_prev,Au_mean_max_temp_prev,Au_mean_min_temp_prev
1989,0,2659,12.26,3.27,35.2,45.3,25.066666666666666,80,916,15.98,0.9433333333333334,55.4,65.9,44.8,322,139,15.120000000000001,2.4366666666666665,66.36666666666666,76.96666666666667,55.766666666666666,0,3092,7.02,-1.7633333333333334,29.633333333333333,39.266666666666666,19.96666666666667,0,2368,11.83,-0.18999999999999997,38.3,48.33333333333333,28.3
1990,2,1850,14.39,0.6966666666666665,44,53.86666666666667,34.13333333333333,61,982,13.68,2.17,54.6,65.03333333333333,44.13333333333333,388,143,12.85,2.0100000000000002,66.9,77.13333333333333,56.666666666666664,0,2785,11.09,2.2066666666666666,33.2,43.266666666666666,23.066666666666666,0,2659,12.26,3.27,35.2,45.3,25.066666666666666
1991,0,2079,11.83,1.3266666666666667,41.5,50.86666666666667,32.1,110,656,9.83,-1.08,58.766666666666666,70.96666666666667,46.53333333333333,372,170,16.75,0.48666666666666675,66.43333333333334,77.46666666666667,55.36666666666667,0,2926,9.82,-0.6033333333333333,31.566666666666666,41.13333333333333,22.033333333333335,2,1850,14.39,0.6966666666666665,44,53.86666666666667,34.13333333333333
1992,0,2358,13.38,1.6133333333333333,38.33333333333333,47.03333333333333,29.566666666666666,51,1029,10.01,-0.6633333333333333,53.9,65.46666666666667,42.266666666666666,210,195,12.64,1.2466666666666666,64.46666666666667,74.93333333333334,54.03333333333333,0,3171,8.76,-0.7333333333333333,28.9,38.03333333333333,19.733333333333334,0,2079,11.83,1.3266666666666667,41.5,50.86666666666667,32.1
1993,0,2286,13.7,0.4666666666666667,39.13333333333333,48.93333333333334,29.3,76,836,8.5,0.003333333333333336,56.166666666666664,67.60000000000001,44.733333333333334,399,132,9.67,-1.5766666666666667,67.16666666666667,78,56.3,0,3337,12.58,1.79,26.766666666666666,36.1,17.433333333333334,0,2358,13.38,1.6133333333333333,38.33333333333333,47.03333333333333,29.566666666666666
1994,0,1970,10.17,-0.7366666666666666,42.7,53.1,32.3,115,837,9.87,-0.48,56.63333333333333,68.06666666666666,45.166666666666664,420,176,13.71,0.16000000000000003,66.93333333333334,77.06666666666666,56.8,0,3538,14.059999999999999,1.3133333333333335,24.333333333333332,34.233333333333334,14.466666666666667,0,2286,13.7,0.4666666666666667,39.13333333333333,48.93333333333334,29.3
1995,0,2341,16.69,1.6099999999999999,38.53333333333333,47.766666666666666,29.3,71,989,7.45,-1.7833333333333332,54.56666666666666,65.86666666666667,43.233333333333334,416,178,8.370000000000001,-2.6133333333333333,66.86666666666667,78.4,55.3,0,2950,8.98,-0.67,31.2,39.96666666666667,22.366666666666667,0,1970,10.17,-0.7366666666666666,42.7,53.1,32.3
1996,0,2195,17.75,4.4366666666666665,40.2,48.96666666666667,31.400000000000002,78,916,13.809999999999999,2.2399999999999998,55.333333333333336,66,44.733333333333334,314,142,16.44,2.77,66.3,76,56.5,0,3282,12.61,1.93,27.46666666666667,37,17.933333333333334,0,2341,16.69,1.6099999999999999,38.53333333333333,47.766666666666666,29.3
1997,0,2300,11.719999999999999,-0.37999999999999995,39.06666666666667,48.36666666666667,29.8,65,1031,9.93,0.19333333333333333,53.9,65,42.800000000000004,316,152,9.61,-1.12,65.93333333333334,76.93333333333334,54.96666666666667,0,3015,9.86,-0.16666666666666666,30.533333333333335,39.266666666666666,21.8,0,2195,17.75,4.4366666666666665,40.2,48.96666666666667,31.400000000000002
1998,0,2013,8.9,-1.3233333333333333,42.333333333333336,51.733333333333334,32.86666666666667,65,769,17.84,1.9766666666666666,57.03333333333334,67.56666666666666,46.53333333333333,416,90,8.04,-0.6599999999999999,67.86666666666667,78.89999999999999,56.8,0,2688,15.379999999999999,1.38,34.233333333333334,42.56666666666667,25.900000000000002,0,2300,11.719999999999999,-0.37999999999999995,39.06666666666667,48.36666666666667,29.8
