Massachusetts, Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
199001,1.66
199002,1.98
199003,0.49
199004,0.80
199005,2.85
199006,1.09
199007,0.60
199008,2.58
199009,1.18
199010,2.76
199011,1.21
199012,1.71
199101,0.96
199102,-0.46
199103,-0.08
199104,-0.84
199105,-0.99
199106,-1.39
199107,-1.69
199108,1.07
199109,2.08
199110,2.02
199111,2.13
199112,1.45
199201,0.39
199202,-0.88
199203,-0.68
199204,-1.00
199205,-1.54
199206,0.12
199207,0.74
199208,1.55
199209,1.45
199210,0.96
199211,1.49
199212,2.15
199301,0.80
199302,0.94
199303,2.42
199304,2.58
199305,-0.03
199306,-1.57
199307,-2.07
199308,-2.84
199309,-2.09
199310,-1.53
199311,-1.24
199312,0.38
199401,1.33
199402,0.22
199403,1.74
199404,0.16
199405,0.71
199406,-0.70
199407,-0.85
199408,0.55
199409,0.78
199410,-0.82
199411,-0.96
199412,0.43
199501,0.41
199502,-0.54
199503,-1.11
199504,-1.57
199505,-1.73
199506,-2.05
199507,-2.21
199508,-2.80
199509,-2.83
199510,0.76
199511,2.03
199512,0.67
199601,2.30
199602,1.82
199603,0.93
199604,2.51
199605,2.38
199606,1.35
199607,2.84
199608,1.78
199609,3.24
199610,4.65
199611,3.74
199612,4.66
199701,3.92
199702,2.30
199703,2.40
199704,3.23
199705,2.83
199706,0.58
199707,-0.24
199708,-0.01
199709,-1.47
199710,-1.97
199711,-0.39
199712,-0.72
199801,1.04
199802,1.45
199803,1.65
199804,0.89
199805,1.30
199806,3.27
199807,2.42
199808,1.16
199809,-0.41
199810,0.23
199811,-1.18
199812,-2.00
199901,0.67
199902,1.06
199903,1.28
199904,-1.20
199905,-0.97
199906,-1.91
199907,-2.33
199908,-2.68
199909,0.85
199910,1.90
199911,0.52
199912,-0.93
200001,-0.92
200002,-0.76
200003,-0.69
200004,0.82
200005,0.77
200006,1.59
200007,2.36
200008,2.31
200009,2.16
200010,1.37
200011,0.82
200012,1.07
200101,-0.36
200102,-0.77
200103,1.91
200104,-0.56
200105,-1.16
200106,0.67
200107,0.69
200108,0.43
200109,-0.30
200110,-1.24
200111,-2.50
200112,-2.96
200201,-3.05
200202,-3.19
200203,-2.68
200204,-2.75
200205,-0.96
200206,0.06
200207,-1.14
200208,-2.11
200209,-2.04
200210,-1.33
200211,0.34
200212,1.23
200301,0.13
200302,1.01
200303,1.18
200304,1.23
200305,1.31
200306,1.87
200307,0.85
200308,1.80
200309,2.13
200310,2.96
200311,1.73
200312,2.73
200401,0.60
200402,-1.04
200403,-1.83
200404,1.27
200405,0.74
200406,-0.59
200407,-0.39
200408,0.72
200409,1.84
200410,0.89
200411,0.54
200412,0.98
200501,1.66
200502,0.86
200503,1.63
200504,1.70
200505,2.01
200506,0.34
200507,-0.37
200508,-1.21
200509,-1.70
200510,3.54
200511,3.52
200512,3.20
200601,3.57
200602,2.33
200603,-0.70
200604,-1.82
200605,1.49
200606,4.01
200607,3.30
200608,3.35
200609,2.35
200610,3.25
200611,3.30
200612,1.52
200701,0.98
200702,-0.28
200703,0.68
200704,3.04
200705,2.03
200706,1.14
200707,1.78
200708,-0.39
200709,-1.47
200710,-1.72
200711,-1.94
200712,-0.58
200801,-1.36
200802,2.40
200803,2.78
200804,2.11
200805,0.73
200806,0.85
200807,2.71
200808,2.67
200809,3.94
200810,3.45
200811,2.96
200812,3.99
200901,3.62
200902,1.76
200903,0.72
200904,0.39
200905,0.16
200906,1.56
200907,4.12
200908,4.15
200909,2.92
200910,4.08
200911,2.78
200912,3.24
201001,2.58
