Massachusetts, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199001,32.6
199002,30.1
199003,36.9
199004,45.6
199005,53.2
199006,65.0
199007,70.4
199008,70.0
199009,60.3
199010,54.5
199011,42.5
199012,35.0
199101,24.9
199102,31.6
199103,38.2
199104,48.8
199105,61.2
199106,66.3
199107,69.9
199108,70.0
199109,59.4
199110,52.3
199111,41.1
199112,31.1
199201,26.4
199202,28.2
199203,32.1
199204,43.0
199205,55.0
199206,63.7
199207,66.8
199208,66.4
199209,60.2
199210,46.8
199211,38.4
199212,29.8
199301,27.7
199302,20.8
199303,31.8
199304,45.8
199305,57.8
199306,64.9
199307,70.8
199308,69.9
199309,60.8
199310,47.8
199311,40.1
199312,29.5
199401,17.1
199402,21.9
199403,34.0
199404,47.4
199405,54.7
199406,67.8
199407,73.8
199408,67.2
199409,59.8
199410,50.0
199411,44.2
199412,33.9
199501,31.6
199502,24.5
199503,37.5
199504,43.5
199505,54.4
199506,65.8
199507,72.6
199508,68.9
199509,59.1
199510,53.6
199511,36.9
199512,25.1
199601,24.6
199602,26.0
199603,31.8
199604,45.2
199605,54.8
199606,66.0
199607,68.8
199608,69.0
199609,61.1
199610,49.5
199611,36.2
199612,34.9
199701,25.4
199702,32.5
199703,33.7
199704,43.4
199705,53.0
199706,65.3
199707,69.7
199708,67.6
199709,60.5
199710,48.6
199711,37.6
199712,31.0
199801,31.1
199802,33.7
199803,37.9
199804,47.2
199805,59.7
199806,64.2
199807,70.4
199808,70.2
199809,63.0
199810,51.1
199811,40.3
199812,35.6
199901,26.0
199902,30.6
199903,36.4
199904,46.6
199905,57.4
199906,68.1
199907,73.0
199908,68.5
199909,64.3
199910,48.9
199911,44.8
199912,32.8
200001,23.5
200002,30.1
200003,40.6
200004,45.1
200005,56.4
200006,65.1
200007,67.0
200008,67.0
200009,60.2
200010,50.2
200011,40.0
200012,25.0
200101,24.6
200102,27.8
200103,32.5
200104,45.9
200105,57.8
200106,67.5
200107,67.2
200108,71.7
200109,61.9
200110,51.9
200111,44.4
200112,35.9
200201,32.4
200202,32.4
200203,37.1
200204,48.5
200205,54.6
200206,64.0
200207,71.4
200208,71.4
200209,64.4
200210,48.4
200211,39.0
200212,28.5
200301,19.0
200302,22.8
200303,34.5
200304,42.9
200305,54.2
200306,64.0
200307,71.0
200308,71.5
200309,62.6
200310,48.6
200311,42.8
200312,31.4
200401,17.3
200402,27.4
200403,36.6
200404,46.9
200405,58.5
200406,63.7
200407,69.0
200408,69.0
200409,62.4
200410,50.0
200411,40.6
200412,30.0
200501,23.0
200502,28.2
200503,31.2
200504,48.0
200505,51.5
200506,68.2
200507,71.4
200508,72.1
200509,64.8
200510,52.1
200511,42.2
200512,28.0
200601,32.9
200602,28.2
200603,35.4
200604,47.7
200605,56.1
200606,66.4
200607,73.3
200608,68.3
200609,60.3
200610,50.0
200611,45.8
200612,37.0
200701,29.9
200702,22.4
200703,34.0
200704,43.3
200705,58.4
200706,65.6
200707,70.1
200708,69.4
200709,63.3
200710,56.0
200711,38.7
200712,28.4
200801,28.2
200802,28.6
200803,34.6
200804,47.9
200805,54.2
200806,67.4
200807,72.4
200808,67.2
200809,62.4
200810,49.1
200811,39.9
200812,31.4
200901,19.8
200902,28.6
200903,35.3
200904,48.3
200905,57.0
200906,62.8
200907,67.6
200908,71.0
200909,59.8
200910,48.4
200911,45.3
200912,29.0
201001,25.9
