year,Apr_cooling_degree_days,Apr_heating_degree_days,Apr_precip,Apr_pdsi,Apr_avg_temp,Apr_max_temp,Apr_min_temp,Aug_cooling_degree_days,Aug_heating_degree_days,Aug_precip,Aug_pdsi,Aug_avg_temp,Aug_max_temp,Aug_min_temp,Dec_cooling_degree_days,Dec_heating_degree_days,Dec_precip,Dec_pdsi,Dec_avg_temp,Dec_max_temp,Dec_min_temp,Feb_cooling_degree_days,Feb_heating_degree_days,Feb_precip,Feb_pdsi,Feb_avg_temp,Feb_max_temp,Feb_min_temp,Jan_cooling_degree_days,Jan_heating_degree_days,Jan_precip,Jan_pdsi,Jan_avg_temp,Jan_max_temp,Jan_min_temp,Jul_cooling_degree_days,Jul_heating_degree_days,Jul_precip,Jul_pdsi,Jul_avg_temp,Jul_max_temp,Jul_min_temp,Jun_cooling_degree_days,Jun_heating_degree_days,Jun_precip,Jun_pdsi,Jun_avg_temp,Jun_max_temp,Jun_min_temp,Mar_cooling_degree_days,Mar_heating_degree_days,Mar_precip,Mar_pdsi,Mar_avg_temp,Mar_max_temp,Mar_min_temp,May_cooling_degree_days,May_heating_degree_days,May_precip,May_pdsi,May_avg_temp,May_max_temp,May_min_temp,Nov_cooling_degree_days,Nov_heating_degree_days,Nov_precip,Nov_pdsi,Nov_avg_temp,Nov_max_temp,Nov_min_temp,Oct_cooling_degree_days,Oct_heating_degree_days,Oct_precip,Oct_pdsi,Oct_avg_temp,Oct_max_temp,Oct_min_temp,Sep_cooling_degree_days,Sep_heating_degree_days,Sep_precip,Sep_pdsi,Sep_avg_temp,Sep_max_temp,Sep_min_temp
1988,0,605,2.9,-0.98,44.5,53.6,35.5,228,4,3.07,-0.25,71.6,82,61.2,0,1123,1.29,-0.88,27.6,37.3,17.9,0,1030,4.19,-0.38,26.8,37,16.7,0,1301,2.77,-0.91,21.7,32.2,11.2,224,0,7.46,1.34,71.9,82.3,61.4,51,62,1.42,-1.66,64.1,76.7,51.5,0,892,3.09,-0.66,35.3,46,24.7,4,271,3.59,-0.97,56.4,67.1,45.7,0,682,7.51,1.07,41.3,51.4,31.3,0,563,3.03,-0.76,46,56.3,35.7,9,163,1.99,-0.74,59.2,71.4,47.1
1989,0,644,4.36,0.27,42.9,53.6,32.1,138,18,5.63,2.58,68.2,78.4,58.1,0,1484,1.1,2.35,15.8,25.4,6.2,0,1074,2.65,-1.76,25.8,34.7,16.8,0,1081,1.27,-1.67,29,38.5,19.5,163,7,4.71,1.92,69.6,80.3,58.8,73,41,5.32,1.5,65.7,75.5,55.8,0,937,3.1,-1.86,34.1,44.6,23.6,7,231,6.3,1.06,57.6,68.6,46.5,0,754,4.67,3.68,39,48.2,29.8,0,421,6.49,3.78,50.8,62.3,39.2,21,114,4.78,2.81,61.3,72.2,50.4
1990,0,573,4.57,1.73,45.6,55.8,35.4,184,7,7.37,2.58,70,79.6,60.3,0,895,4.88,-0.14,35,44.1,25.9,0,954,3.86,2.49,30.1,40.7,19.4,0,980,4.66,2.46,32.6,40.8,24.4,189,0,3.57,1.61,70.4,80.5,60.4,61,51,1.99,1.93,65,76.1,53.9,0,851,2.57,1.67,36.9,48.3,25.4,0,358,7.12,2.85,53.2,63.2,43.1,0,649,2.58,-0.53,42.5,52.5,32.4,2,306,6.93,2.76,54.5,65,44.1,15,136,1.91,1.84,60.3,71.3,49.3
1991,0,479,3.51,-0.86,48.8,60.6,37,185,7,7.33,1.07,70,80.5,59.5,0,1017,3.29,-0.17,31.1,40.5,21.8,0,910,1.99,-0.88,31.6,41.4,21.8,0,1208,3.07,-0.35,24.9,34.5,15.3,178,4,2.63,-1.69,69.9,81.3,58.5,82,34,2.48,-1.39,66.3,78.4,54.2,0,808,4.76,-0.58,38.2,47.5,29,28,143,3.84,-0.99,61.2,73.9,48.4,0,690,4.92,2.13,41.1,48.9,33.2,0,372,3.62,2.02,52.3,63.2,41.3,9,159,6.79,2.08,59.4,70.6,48.1
1992,0,651,2.9,-1,43,53.2,32.7,100,33,5.65,1.55,66.4,76.5,56.3,0,1056,6.03,2.15,29.8,37.7,21.8,0,1007,2.14,-0.94,28.2,37.1,19.2,0,1169,2.73,-0.5,26.4,35.6,17.2,96,23,3.65,0.74,66.8,77.4,56.2,48,65,5.25,0.55,63.7,75.4,52,0,995,3.89,-0.76,32.1,41.4,22.8,3,313,1.86,-1.54,55,67.8,42.1,0,771,4.98,1.49,38.4,46,30.7,0,531,2.37,1.2,46.8,57.4,36.2,14,139,3.34,1.45,60.2,70.9,49.6
1993,0,566,5.04,2.58,45.8,56,35.5,180,9,2.04,-2.84,69.9,81.2,58.6,0,1064,5.55,0.87,29.5,37.6,21.3,0,1203,3.54,1.47,20.8,31,10.5,0,1132,2.45,1.48,27.7,35.8,19.6,200,0,2.68,-2.07,70.8,82.7,58.9,66,47,2.28,-1.57,64.9,76.9,53,0,1002,6.59,2.42,31.8,41.5,22.2,10,223,1.18,-1,57.8,69.9,45.7,0,715,4.28,0.26,40.1,50.6,29.6,0,507,3.87,0.27,47.8,58.6,37,19,123,4.95,0.18,60.8,70.1,51.4
1994,0,508,2.86,-0.54,47.4,59.1,35.7,116,25,5.55,0.55,67.2,77.6,56.9,0,935,5.08,-0.43,33.9,42.8,24.9,0,1172,2.51,0.87,21.9,31.9,12,0,1437,5.17,1.33,17.1,27.7,6.5,293,0,3.66,-0.85,73.8,84,63.5,115,17,2.58,-0.7,67.8,78.8,56.8,0,929,6.38,1.74,34,43.1,24.9,0,312,4.43,-0.2,54.7,66.3,43,0,595,4.15,-0.96,44.2,54.6,33.8,0,440,0.94,-0.82,50,61.9,38.2,11,151,4.5,0.78,59.8,69.6,50
1995,0,626,2.31,-1.57,43.5,54.6,32.3,156,13,2.12,-2.8,68.9,81.2,56.7,0,1196,2.48,1.36,25.1,32.9,17.4,0,1100,2.74,-0.54,24.5,34.7,14.3,0,1006,3.75,-0.36,31.6,38.8,24.3,251,0,3.12,-2.21,72.6,83.2,61.9,71,42,2.45,-2.05,65.8,77.7,53.8,0,844,2.49,-1.11,37.5,46.4,28.5,0,321,2.69,-1.73,54.4,65.3,43.6,0,812,5.81,2.03,36.9,45.1,28.6,0,333,8.4,1.44,53.6,65.3,41.9,9,165,3.13,-2.83,59.1,70.8,47.3
1996,0,575,6.83,2.51,45.2,55.3,35.2,149,14,2.48,2.23,69,79.3,58.6,0,896,6.96,4.66,34.9,41.7,28,0,1066,3.06,1.98,26,34.6,17.3,0,1213,6.6,2.3,24.6,33.9,15.3,146,9,6.46,2.84,68.8,78.5,59,78,37,2.96,1.83,66,76.4,55.7,0,1003,2.95,1.51,31.8,42.5,21.2,0,304,4.02,2.38,54.8,66.3,43.3,0,838,3.1,4,36.2,44.9,27.5,0,461,7.69,4.65,49.5,60.3,38.7,19,119,7.5,3.24,61.1,70.2,51.9
1997,0,628,5.15,0.76,43.4,54.1,32.7,122,22,4.63,-0.81,67.6,78.2,57.1,0,1025,3.17,0.28,31,39.4,22.6,0,883,2.08,-0.62,32.5,41.2,23.8,0,1192,3.41,-0.1,25.4,34,16.8,176,4,3.23,-1.08,69.7,81.4,58,65,48,1.35,-0.87,65.3,77.4,53.2,0,940,4.37,0.22,33.7,42.6,24.8,0,355,3.43,0.69,53,63.5,42.5,0,791,6.47,0.55,37.6,45.7,29.6,0,484,2.08,-1.97,48.6,60,37.2,18,126,1.75,-1.47,60.5,71.2,49.8
