Scenario,Statistic,PCA-LR,PLS-DA,PLS-DA (ncomp forced)
null,n,100,25,100
null,ncomp,2.66 ± 0.536,1.44 ± 0.821,1 ± 0
null,RMSEP,0.556 ± 0.033,0.518 ± 0.052,0.579 ± 0.068
null,R2X,0.545 ± 0.027,0.295 ± 0.129,0.2 ± 0.063
null,R2Y,0.154 ± 0.119,0.577 ± 0.171,0.42 ± 0.107
null,Q2,NA,0.219 ± 0.148,-0.189 ± 0.301
null,pR2,NA,0.242 ± 0.15,0.465 ± 0.278
null,pQ2,NA,0.08 ± 0.059,0.462 ± 0.277
null,p,0.414 ± 0.298,NA,NA
control,n,99,100,100
control,ncomp,2.96 ± 0.317,1.11 ± 0.373,1 ± 0
control,RMSEP,0.442 ± 0.139,0.375 ± 0.097,0.376 ± 0.106
control,R2X,0.558 ± 0.025,0.313 ± 0.052,0.301 ± 0.026
control,R2Y,0.986 ± 0.059,0.835 ± 0.061,0.826 ± 0.051
control,Q2,NA,0.752 ± 0.072,0.748 ± 0.07
control,pR2,NA,0.004 ± 0.013,0.005 ± 0.018
control,pQ2,NA,0.002 ± 0.001,0.002 ± 0.002
control,p,0 ± 0.001,NA,NA
needle,n,100,100,100
needle,ncomp,2.55 ± 0.539,2.04 ± 0.665,2 ± 0
needle,RMSEP,0.506 ± 0.095,0.38 ± 0.095,0.373 ± 0.117
needle,R2X,0.559 ± 0.038,0.397 ± 0.125,0.401 ± 0.053
needle,R2Y,0.68 ± 0.378,0.906 ± 0.046,0.909 ± 0.034
needle,Q2,NA,0.709 ± 0.108,0.688 ± 0.129
needle,pR2,NA,0.003 ± 0.003,0.004 ± 0.004
needle,pQ2,NA,0.002 ± 0.001,0.003 ± 0.004
needle,p,0.092 ± 0.226,NA,NA
