Variable,VIP,OPLS-DA Predictive Axis Loading,PC1 Loading,PC2 Loading
fruit,1.55,0.332,0.057,0.128
sugar,1.5,-0.323,0.169,-0.333
flour,1.41,0.301,0.035,0.235
water,1.34,-0.287,0.085,-0.242
vanilla,1.29,-0.276,0.255,-0.124
butter,1.19,-0.255,-0.186,-0.283
baking powder,1.17,0.25,-0.234,0.279
salt,1.11,0.239,-0.048,0.346
other,1.06,-0.227,-0.072,-0.222
spice,1.04,0.222,0.371,0.077
eggs,1.01,-0.217,0.008,-0.125
cream cheese,1,-0.215,0.162,-0.22
cornmeal,0.86,0.183,-0.14,0.254
oats,0.79,0.169,0.006,0.225
baking soda,0.76,0.164,0.392,0.102
vegetable,0.67,0.144,0.37,0.181
milk,0.65,0.14,-0.328,0.151
chocolate,0.58,-0.125,-0.185,-0.195
nut,0.52,-0.112,0.18,-0.059
oil,0.4,0.085,0.381,0.22
buttermilk,0.28,0.06,-0.002,0.042
unitless,0.14,-0.029,0.065,-0.272
